iter	RMSE
0	1.63451244711	1.5791836252	1.446399195
3	1.39975355
4	4	1.421047295	5	1.374716696	6	1.328716427	7	1.2850698788	1.24063710899	1.199264335110	1.157001401111	1.11859734112	1.081131474113	1.045317389114	1.011375018
15	0.9789346129
16	0.9315643856
17	0.9199917621118	0.891499355719	0.8521946943
20	0.826491377
21	0.8007633017
22	0.7771605203
23	0.7553945284
24	0.7355555486
25	0.7153936597
26	0.6960038382
27	0.6759022845
28	0.6581053611
29	0.6407120737
30	0.6218673771
31	0.6045943751
32	0.5881962101
33	0.5738017863
34	0.5603067596
35	0.5459220854336	0.5321897317337	0.5203149507338	0.5077272507
39	0.495802831
40	0.4838965712
41	0.4730902322
42	0.4612344718
43	0.4507185626
44	0.4394154302
45	0.4294414494
46	0.4197789696
47	0.4095717483
48	0.4012064925
49	0.3929845269
50	0.3852488727
51	0.3776140685
52	0.3703251353
53	0.3626232885
54	0.3550378723
55	0.3479042802
56	0.3413509277
57	0.3346755734
58	0.3293027105
59	0.3236296883
60	0.3184730421
61	0.3139368212
62	0.3086962881
63	0.3037779674
64	0.2990010091
65	0.2939704391
66	0.2895669277
67	0.2854663017
68	0.2812079827
69	0.2772375586
70	0.2734801277
71	0.2697928088
72	0.2663900162
73	0.2627643105
74	0.2595215334
75	0.2564835671
76	0.2532065622
77	0.2507355584
78	0.2478534339
79	0.244932465
80	0.242090505
81	0.2398009298
82	0.2374761808
83	0.2345172435
84	0.2322644596
85	0.2299573308
86	0.2277134538
87	0.2256576777
88	0.2235679513
89	0.2211458802
90	0.2195630949
91	0.2173910355
92	0.2158272507
93	0.2146319046
94	0.2127624155
95	0.2111783628
96	0.2091884554
97	0.2076066123
98	0.2058721438
99	0.2045849656
100	0.2032952005
101	0.2018451626
102	0.2001884088
103	0.1983876785
104	0.1973047497
105	0.1962171244
106	0.1946873713
107	0.193242781
108	0.1924074257
109	0.1910266934
110	0.1898651448
111	0.1884287658
112	0.1877020448
113	0.1869480752
114	0.1857379519
115	0.1844350592
116	0.1833594989
117	0.1825100399
118	0.1817163782
119	0.1807588228
120	0.1798713897
121	0.1790022722
122	0.1783653412
123	0.1775035344
124	0.1766264088
125	0.1758238665
126	0.1748110785
127	0.1738857631
128	0.1731241489
129	0.1725492093
130	0.1717823917
131	0.1711206642
132	0.1705990387
133	0.1699014306
134	0.1693925434
135	0.1689260066
136	0.1680864941
137	0.1677913152
138	0.1669675667
139	0.1665066044
140	0.1656447658
141	0.1646973218
142	0.1640017956
1144	0.17938382261145	0.17862358131146	0.17800614261147	0.17760068121148	0.17707896571149	0.17674344121150	0.17642045941151	0.1759101132
152	0.175435444
153	0.175122845
154	0.1744073308
155	0.1736534378
156	0.1732643147
157	0.1725986629
158	0.1722566366
159	0.1718788947
160	0.1715415941
161	0.1710263297
162	0.1705861632
163	0.170213774
164	0.1697254801
165	0.1691256701
166	0.1688828448
167	0.1683367116
168	0.1677423107
169	0.1672190822
170	0.1668445526
171	0.1664053833
172	0.1659393766
173	0.165689248
174	0.1649996933
175	0.1647014486
176	0.1643418815
177	0.1639711549
178	0.1634041668
179	0.162938759
180	0.1623926765
181	0.1620094433
182	0.1618067632
183	0.1614061351
184	0.1610534479
185	0.1607270069
186	0.1605007381
187	0.159939625
188	0.1597231404
189	0.1592692459
190	0.158934548
