iter	Passed	Remaining
0	144	143969
1	148	74298
2	152	50545
3	157	39257
4	162	32422
5	167	27723
6	169	24092
7	172	21434
8	175	19305
9	177	17576
10	180	16190
11	183	15078
12	185	14116
13	189	13315
14	191	12571
15	194	11968
16	196	11388
17	198	10854
18	201	10408
19	204	10002
20	207	9672
21	210	9340
22	212	9022
23	214	8730
24	216	8461
25	219	8215
26	222	8001
27	224	7794
28	227	7616
29	229	7428
30	232	7262
31	235	7111
32	237	6953
33	239	6812
34	242	6693
35	245	6578
36	248	6456
37	250	6345
38	253	6243
39	255	6140
40	258	6052
41	260	5947
42	263	5861
43	265	5768
44	268	5698
45	270	5617
46	273	5537
47	275	5470
48	278	5405
49	281	5341
50	283	5276551	286	5227552	289	5176553	291	5110554	294	5067555	297	5016556	300	4975557	304	4939558	306	4895559	309	485660	318	4908
61	321	4865
62	324	4825
663	321	469764	330	4753
65	333	4725
66	336	4686
67	339	4648
68	341	4614
69	344	4579
70	346	4538
71	350	4517
72	353	4487
73	357	4467
74	360	4442
75	364	4432
76	367	4409
77	370	4381
78	374	4363
79	377	4342
80	380	4319
81	383	4293
82	386	4268
83	389	4247
84	392	4224
85	395	4203
86	398	4183
87	402	4170
88	406	4156
89	408	4134
90	411	4110
91	413	4082
92	416	4066
93	419	4043
94	423	4036
95	426	4016
96	428	3991
97	431	3973
98	434	3952
99	437	3939
100	440	3920
101	442	3898
102	445	3882
103	448	3866
104	451	3850
105	454	3831
106	456	3812
107	459	3795
108	462	3780
1109	459	3715110	468	3753
111	471	3739
1112	467	3671113	478	3716
114	480	3698
115	483	3684
116	486	3670
117	489	3660
118	492	3645
119	495	3631
120	497	3617
121	500	3601
122	504	3594
123	506	3579
124	509	3567
125	512	3554
126	515	3543
127	518	3528
128	521	3519
129	524	3511
130	527	3502
131	530	3487
132	532	3474
133	535	3463
134	538	3452
135	541	3441
136	543	3426
137	546	3415
1138	543	3364139	551	3389
1140	547	3338141	557	3369
142	560	3358
1143	557	33131144	559	33001145	562	32891146	565	32791147	567	3268148	576	3294
