iter	RMSE
0	2.082547942
1	1.999499349
2	1.921014617
3	1.846634896
4	1.775440412
5	1.707625889
6	1.642857299
7	1.58156866
8	1.52233756
9	1.467230336
10	1.414106352
11	1.362328282
12	1.314456446
13	1.268926207
14	1.224300643
15	1.182175615
16	1.142989242
17	1.105361744
18	1.068430609
19	1.034560781
20	1.002067346
21	0.9714338823
22	0.9408666181
23	0.9123034599
24	0.8855471
25	0.8597980203
26	0.8356304575
27	0.8121336387
28	0.7899920874
29	0.7687690583
30	0.7485479202
31	0.7288849291
32	0.7108396379
33	0.6932765271
34	0.6769546551
35	0.6611344382
36	0.6460479967
37	0.6317080694
38	0.6180061438
39	0.6051209709
40	0.5926905654
41	0.580794051
42	0.5697160763
43	0.5588989556
44	0.5489350397
45	0.53936442
46	0.5304427911
47	0.5219619287
48	0.5142116795
49	0.5066565447
50	0.498948554
51	0.4918121039
52	0.4851899918
53	0.479050526
54	0.4729836762
55	0.4674465162
56	0.4623718965
57	0.4567354831
58	0.4518734327
59	0.4469622927
60	0.442660311
61	0.4387458675
62	0.4343346581
63	0.4305903999
64	0.4268823272
65	0.4233400073
66	0.4200557389
67	0.4168021266
68	0.4137349768
69	0.410663882
70	0.4076254226
71	0.405073171
72	0.4024732416
73	0.4000625834
74	0.3978157235
75	0.3955324488
76	0.3936060525
77	0.3916068068
78	0.3896165308
79	0.3873367275
80	0.3858177453
81	0.384017268
82	0.381858862
83	0.3799580158
84	0.3779664217
85	0.3764215187
86	0.3745905596
87	0.3731413594
88	0.3718382584
89	0.370363257
90	0.3692173661
91	0.3677877954
92	0.3666948388
93	0.3654126512
94	0.3643397894
95	0.3630727553
96	0.3621793222
97	0.3609828959
98	0.3599570298
99	0.3589213838
100	0.357877266
101	0.3569808692
102	0.3559472235
103	0.3549084847
104	0.3541618765
105	0.3534834106
106	0.3522973771
107	0.3510463738
108	0.3502645057
109	0.3491923224
110	0.3484633241
111	0.3474752875
112	0.3464919463
113	0.3458354373
114	0.3447922036
115	0.3439255054
116	0.3432544956
117	0.3423655641
118	0.3415582212
119	0.3408978819
120	0.3404951915
121	0.3401180671
122	0.3393333972
123	0.3386101721
124	0.3378714931
125	0.3372879483
126	0.3363966735
127	0.3357238714
128	0.335159352
129	0.3344846347
130	0.3338426041
131	0.3333540633
132	0.3326924292
133	0.332120919
134	0.3315339685
135	0.3310991905
136	0.3305549729
137	0.3299406233
138	0.3294019369
139	0.3288896421
140	0.3283206574
141	0.3277689413
142	0.32723898
143	0.3268491499
144	0.3263661005
145	0.3258395436
146	0.3253661741
147	0.3248760612
148	0.3245118198
149	0.3240719535
150	0.3236228177
151	0.3231866657
152	0.322802421
153	0.3223549573
154	0.3220335433
155	0.3216009643
156	0.3212054814
157	0.320527137
158	0.3201137958
159	0.3196437504
160	0.3192148319
161	0.3189217015
162	0.3183350879
163	0.3179396449
164	0.317512791
165	0.317288614
166	0.3169813547
167	0.3166215269
168	0.3160924839
169	0.3157162134
170	0.3153735642
171	0.3152651154
172	0.3149172009
173	0.3147416502
174	0.3141968376
175	0.313793924
176	0.3134358817
177	0.3130242136
178	0.3127536291
179	0.3123855656
180	0.312150581
181	0.3116837265
182	0.3113814021
183	0.3111667224
184	0.3109338208
185	0.3108148636
186	0.310575312
187	0.3104105974
188	0.3101965047
189	0.310041272
190	0.3095482046
191	0.3092685982
192	0.3090728177
193	0.3088875319
194	0.3087355695
195	0.3085427316
196	0.3082240724
197	0.3079274988
198	0.3074557828
199	0.3072947099
200	0.306985639
201	0.306795961
202	0.3066117686
203	0.3064183724
204	0.3061190275
205	0.3058571955
206	0.3055858361
207	0.3054437861
208	0.3051275366
209	0.3050582657
210	0.3045945331
211	0.3043368806
212	0.3037345336
213	0.3035384144
214	0.3034581138
215	0.3031007755
216	0.3027419085
217	0.3024421761
218	0.3018859519
219	0.3013983716
220	0.3010167968
221	0.300575001
222	0.3004859643
223	0.3003807649
224	0.3002060412
225	0.2998567395
226	0.2997020088
227	0.2991939004
228	0.2990662425
229	0.2986123601
230	0.2984109887
231	0.2981764391
232	0.2979373805
233	0.2977962575
234	0.2975884374
235	0.2973540991
236	0.2970598095
237	0.2967669893
238	0.2963860232
239	0.296163868
240	0.2958808697
241	0.2955946956
242	0.2953608795
243	0.295054927
244	0.2947258868
245	0.2943601346
246	0.2941411641
247	0.293852306
248	0.2936730348
249	0.2935168705
