iter	Passed	Remaining
0	1	297
1	2	289
2	3	280
3	4	264
4	5	256
5	6	253
6	7	249
7	9	245
8	10	242
9	11	248
10	12	246
11	13	247
12	14	244
13	15	240
14	16	237
15	18	237
16	19	235
17	20	231
18	21	228
19	21	224
20	22	220
21	23	216
22	24	213
23	25	210
24	25	207
25	26	204
26	27	203
27	28	201
28	29	199
29	30	197
30	31	195
31	32	193
32	32	191
33	33	190
34	34	187
35	35	186
36	36	183
37	36	181
38	37	179
39	38	177
40	38	174
41	39	173
42	40	171
43	41	169
44	41	167
45	42	166
46	43	166
47	45	167
48	46	165
49	46	164
50	47	162
51	48	161
52	49	159
53	50	159
54	51	158
55	52	157
56	52	156
57	53	154
58	54	153
59	55	151
60	56	150
61	56	149
62	58	149
63	59	148
64	59	147
65	60	146
66	61	145
67	62	144
68	63	143
69	64	142
70	64	140
71	65	139
72	66	138
73	67	137
74	67	135
75	68	134
76	69	133
77	70	132
78	71	131
79	71	130
80	72	128
81	73	127
82	74	126
83	74	125
84	75	124
85	76	123
86	77	122
87	78	121
88	78	120
89	79	119
90	80	118
91	81	117
92	81	116
93	82	115
94	83	114
95	84	113
96	84	112
97	85	110
98	86	110
99	87	109
100	88	108
101	88	107
102	89	106
103	90	105
104	91	104
105	92	103
106	93	102
107	93	101
108	94	100
109	95	99
110	95	98
111	96	97
112	97	96
113	97	95
114	98	94
115	99	93
116	99	92
117	100	91
118	101	90
119	102	89
120	102	88
121	103	87
122	104	86
123	105	85
124	105	84
125	106	83
126	107	82
127	107	81
128	108	80
129	109	80
130	110	79
131	111	78
132	111	77
133	112	76
134	113	75
135	113	74
136	114	73
137	115	72
138	115	71
139	116	70
140	117	69
141	118	69
142	118	68
143	119	67
144	120	66
145	120	65
146	121	64
147	122	63
148	122	62
149	123	61
150	124	60
151	124	60
152	125	59
153	126	58
154	126	57
155	127	56
156	128	55
157	128	54
158	129	53
159	130	53
160	131	52
161	131	51
162	132	50
163	133	49
164	134	48
165	134	47
166	135	47
167	136	46
168	137	45
169	137	44
170	138	43
171	139	42
172	139	42
173	140	41
174	141	40
175	141	39
176	142	38
177	143	37
178	144	37
179	144	36
180	145	35
181	146	34
182	146	33
183	147	32
184	148	32
185	148	31
186	149	30
187	150	29
188	151	28
189	151	27
190	152	27
191	153	26
192	153	25
193	154	24
194	155	23
195	155	23
196	156	22
197	157	21
198	157	20
199	158	19
200	159	19
201	159	18
202	160	17
203	161	16
204	161	15
205	162	15
206	163	14
207	164	13
208	164	12
209	165	11
210	166	11
211	167	10
212	167	9
213	168	8
214	169	7
215	169	7
216	170	6
217	171	5
218	172	4
219	172	3
220	173	3
221	174	2
222	174	1
223	175	0
224	176	0
