iter	Passed	Remaining
0	0	97
1	0	76
2	1	67
3	1	63
4	1	61
5	2	59
6	2	58
7	2	57
8	2	56
9	3	54
10	3	54
11	3	53
12	4	52
13	4	51
14	4	50
15	4	50
16	5	50
17	5	49
18	5	49
19	6	49
20	6	48
21	6	48
22	6	47
23	7	47
24	7	46
25	7	46
26	8	45
27	8	45
28	8	45
29	9	45
30	9	44
31	9	44
32	9	43
33	10	43
34	10	42
35	10	42
36	10	42
37	11	41
38	11	41
39	11	41
40	12	41
41	12	41
42	12	41
43	13	40
44	13	40
45	13	40
46	14	40
47	14	40
48	14	39
49	15	39
50	15	39
51	15	39
52	16	38
53	16	38
54	16	38
55	17	37
56	17	37
57	17	37
58	18	37
59	18	36
60	18	36
61	18	36
62	19	35
63	19	35
64	19	35
65	20	34
66	20	34
67	20	34
68	21	34
69	21	33
70	21	33
71	22	33
72	22	33
73	22	32
74	23	32
75	23	32
76	23	31
77	24	31
78	24	31
79	24	30
80	25	30
81	25	30
82	25	30
83	26	29
84	26	29
85	26	29
86	27	29
87	27	28
88	27	28
89	28	28
90	28	28
91	29	27
92	29	27
93	29	27
94	29	26
95	30	26
96	30	26
97	30	25
98	31	25
99	31	25
100	32	25
101	32	24
102	32	24
103	33	24
104	33	23
105	33	23
106	34	23
107	34	23
108	35	22
109	35	22
110	35	22
111	36	21
112	36	21
113	36	21
114	37	20
115	37	20
116	37	20
117	37	19
118	38	19
119	38	19
120	38	19
121	39	18
122	39	18
123	39	17
124	40	17
125	40	17
126	40	17
127	41	16
128	41	16
129	42	16
130	42	16
131	43	15
132	43	15
133	44	15
134	44	14
135	44	14
136	45	14
137	45	13
138	45	13
139	46	13
140	46	12
141	46	12
142	47	12
143	47	11
144	47	11
145	48	11
146	48	10
147	49	10
148	49	10
149	49	9
150	50	9
151	50	9
152	50	8
153	51	8
154	51	8
155	51	7
156	52	7
157	52	7
158	52	6
159	53	6
160	53	6
161	53	5
162	54	5
163	54	5
164	55	5
165	55	4
166	55	4
167	56	4
168	56	3
169	56	3
170	57	3
171	57	2
172	58	2
173	58	2
174	59	1
175	59	1
176	60	1
177	60	0
178	60	0
179	61	0
