iter	RMSE
0	2.048854791
1	2.015384196
2	1.983662524
3	1.953554992
4	1.923198165
5	1.89509762
6	1.867291666
7	1.839499443
8	1.812922423
9	1.78744947
10	1.762911727
11	1.738459215
12	1.714638628
13	1.692220076
14	1.671051753
15	1.64962788
16	1.628597676
17	1.608430347
18	1.588594142
19	1.569505439
20	1.550372967
21	1.532437992
22	1.51569765
23	1.499217942
24	1.482038011
25	1.467203427
26	1.450731155
27	1.435738641
28	1.420288677
29	1.406163482
30	1.392982562
31	1.378833533
32	1.366217306
33	1.354760838
34	1.341789875
35	1.329899268
36	1.316800096
37	1.30511775
38	1.293513815
39	1.281789298
40	1.270966642
41	1.262359501
42	1.250871589
43	1.240348183
44	1.229605891
45	1.221978814
46	1.211468243
47	1.20229539
48	1.193013155
49	1.18323614
50	1.174349778
51	1.16666207
52	1.158016912
53	1.15103785
54	1.144407763
55	1.13827934
56	1.129821939
57	1.121768044
58	1.11303958
59	1.106996691
60	1.100582773
61	1.092360779
62	1.084027126
63	1.077857843
64	1.070543623
65	1.062480008
66	1.056429339
67	1.049621237
68	1.042159154
69	1.036533952
70	1.029956654
71	1.022806323
72	1.017886533
73	1.010799226
74	1.005570322
75	0.9993592897
76	0.9932196252
77	0.9873797922
78	0.9818069907
79	0.9772900811
80	0.9715194242
81	0.9669251691
82	0.9617155279
83	0.9558184993
84	0.9498342057
85	0.945425954
86	0.9407182581
87	0.9360024038
88	0.9323720228
89	0.9275135612
90	0.9231783267
91	0.9186321966
92	0.9143466626
93	0.9103127246
94	0.905860399
95	0.9020510079
96	0.8968758817
97	0.8933820115
98	0.8882392113
99	0.8833332069
100	0.8800093326
101	0.8761748149
102	0.8722763436
103	0.8678990004
104	0.8634438428
105	0.860059629
106	0.8567836901
107	0.8532993212
108	0.8490383667
109	0.8447422597
110	0.8423192357
111	0.8393683682
112	0.8352361092
113	0.8311360051
114	0.828197171
115	0.8250919741
116	0.8212060439
117	0.818057154
118	0.8153127451
119	0.8123199365
120	0.8099279138
121	0.807771001
122	0.8053064929
123	0.8024596563
124	0.7992943601
125	0.7972764486
126	0.7949596955
127	0.7927294632
128	0.7894094988
129	0.7867650506
130	0.7845375631
131	0.7811996001
132	0.7785305486
133	0.775747869
134	0.7728149202
135	0.7706519836
136	0.7686186586
137	0.7663897361
138	0.7640190608
139	0.7620701895
140	0.7593036214
141	0.7576120127
142	0.7559471381
143	0.7538650999
144	0.7518669526
145	0.7495954432
146	0.7475031406
147	0.7455730809
148	0.7428356197
149	0.7404156406
150	0.7388420524
151	0.7369722071
152	0.7350361185
153	0.7326919448
154	0.7310907218
155	0.7295387651
156	0.7272450062
157	0.7254404073
158	0.7239563241
159	0.7228634008
160	0.7213366274
161	0.7195621427
162	0.7181809766
163	0.7171147983
164	0.715475822
165	0.7136744806
166	0.7123830062
167	0.71084235
168	0.708901941
169	0.7070838327
170	0.7059022172
171	0.704563641
172	0.7035373667
173	0.7023406911
174	0.7012802509
175	0.6996700717
176	0.6983439074
177	0.6972564876
178	0.6961603557
179	0.6949851596
180	0.693518381
181	0.6925196935
182	0.6915994184
183	0.6901447663
184	0.6889281522
185	0.6880975439
186	0.6863583187
187	0.685446878
188	0.6845197052
189	0.683529923
190	0.6822531944
191	0.6806431605
192	0.6795017318
193	0.6785950693
194	0.6774343947
195	0.6765856697
196	0.675718092
197	0.6747340744
198	0.6739294121
199	0.6732128984
200	0.6724661832
201	0.6716617345
202	0.6705521616
203	0.6690916151
204	0.6684133609
205	0.6676147753
206	0.6668747346
207	0.6660916693
208	0.6647178742
209	0.6634179995
210	0.6627402247
211	0.6620514085
