iter	Passed	Remaining
0	49	12452
1	49	6231
2	49	4149
3	50	3108
4	50	2481
5	50	2064
6	50	1767
7	50	1546
8	50	1373
9	51	1237
10	51	1123
11	51	1027
12	51	947
13	51	878
14	51	818
15	51	765
16	51	718
17	52	677
18	52	640
19	52	607
20	52	578
21	52	550
22	52	525
23	52	502
24	53	482
25	53	463
26	53	445
27	53	428
28	53	412
29	53	397
30	53	384
31	54	371
32	54	359
33	54	348
34	54	337
35	54	327
36	54	318
37	54	308
38	54	300
39	55	291
40	55	284
41	55	276
42	55	269
43	55	262
44	55	256
45	55	250
46	55	244
47	56	238
48	56	232
49	56	227
50	56	222
51	56	217
52	56	213
53	56	208
54	57	204
55	57	200
56	57	196
57	57	192
58	57	188
59	57	184
60	57	181
61	57	177
62	58	174
63	58	170
64	58	167
65	58	164
66	58	161
67	58	158
68	58	155
69	58	153
70	59	150
71	59	147
72	59	145
73	59	142
74	59	140
75	59	138
76	59	135
77	59	133
78	59	131
79	60	129
80	60	127
81	60	125
82	60	123
83	60	121
84	60	119
85	60	117
86	60	115
87	61	113
88	61	112
89	61	110
90	61	108
91	61	106
92	61	105
93	61	103
94	61	102
95	61	100
96	62	99
97	62	97
98	62	96
99	62	94
100	62	93
101	62	91
102	62	90
103	62	89
104	62	87
105	62	86
106	63	85
107	63	84
108	63	83
109	63	81
110	63	80
111	63	79
112	63	78
113	63	77
114	64	76
115	64	75
116	64	74
117	64	73
118	64	72
119	64	71
120	64	70
121	64	69
122	64	68
123	65	67
124	65	66
125	65	65
126	65	64
127	65	63
128	65	62
129	65	61
130	66	61
131	66	60
132	66	59
133	66	58
134	66	57
135	66	56
136	66	56
137	66	55
138	67	54
139	67	53
140	67	52
141	67	52
142	67	51
143	67	50
144	67	49
145	67	49
146	67	48
147	68	47
148	68	47
149	68	46
150	68	45
151	68	45
152	69	44
153	69	44
154	69	43
155	69	42
156	70	42
157	70	41
158	70	41
159	70	40
160	70	39
161	70	39
162	70	38
163	70	38
164	70	37
165	71	36
166	71	36
167	71	35
168	71	35
169	71	34
170	71	33
171	71	33
172	71	32
173	72	32
174	72	31
175	72	31
176	72	30
177	72	30
178	72	29
179	72	29
180	72	28
181	73	28
182	73	27
183	73	27
184	73	26
185	73	26
186	73	25
187	73	25
188	73	24
189	73	24
190	73	23
191	74	23
192	74	22
193	74	22
194	74	21
195	74	21
196	74	20
197	74	20
198	75	20
199	75	19
200	75	19
201	75	18
202	75	18
203	75	17
204	75	17
205	76	16
206	76	16
207	76	16
208	76	15
209	76	15
210	76	14
211	77	14
212	77	14
213	77	13
214	77	13
215	77	12
216	77	12
217	77	12
218	77	11
219	78	11
220	78	10
221	78	10
222	78	10
223	78	9
224	78	9
225	78	9
226	78	8
227	79	8
228	79	7
229	79	7
230	79	7
231	79	6
232	79	6
233	80	6
234	80	5
235	80	5
236	80	5
237	80	4
238	80	4
239	80	4
240	80	3
241	81	3
242	81	3
243	81	2
244	81	2
245	81	1
246	81	1
247	81	1
248	81	0
249	82	0
250	82	0
251	82	0
