Year,Country Name,Population,GDP PPP 2017,GDP PPP/capita 2017,Urban population %,Region,Income Group,GDP PPP 2017_log,GDP PPP/capita 2017_log,Population_log,gdp_pc_log_squared,year_relative,GDP PPP 2017_log_growth_1y,Population_log_growth_1y,urban_pop_perc,gdp_log_x_pop_log,gdp_pc_log_x_urban,gdp_pc_log2_x_urban,year_relative_x_gdp_pc_log,year_relative_x_Population_log,year_relative_x_urban_pop_perc,IW,IW_log
2004,Austria,8171966,397429443747.18,48633.27,59.094,Europe & Central Asia,High income,26.70828325528123,10.792083705424265,15.916220196732349,116.46907070488392,14,0.026983841547743,0.0062041305117865,0.59094,425.0949173677555,6.377473944883415,68.82623264234411,151.0891718759397,222.82708275425287,8.27316,36248984.0,17.40592193887295
2006,Austria,8268641,420383450698.26,50840.69,58.532,Europe & Central Asia,High income,26.76443310956841,10.836471966292995,15.927980845535616,117.42912467625398,16,0.0339572878716722,0.0049479771510991,0.58532,426.3033779108249,6.342803771310615,68.73361525550497,173.38355146068793,254.84769352856983,9.36512,30210440.0,17.223698151071602
2008,Austria,8321496,442421107373.8,53166.05,57.966,Europe & Central Asia,High income,26.8155279970806,10.881194122544285,15.934352724496929,118.40038553249224,18,0.0144986219325389,0.0031304139998429,0.5796600000000001,427.2880815991048,6.30739298507402,68.63196747776446,195.8614942057971,286.81834904094467,10.433880000000002,33717421.0,17.333525235031704
2010,Austria,8363404,433587535848.3,51843.43,57.399,Europe & Central Asia,High income,26.79535954092368,10.856002782621978,15.939376198788835,117.85279641629612,20,0.0182042297233948,0.0024039427072271,0.57399,427.1013161045882,6.2312370371971895,67.64632661498982,217.1200556524396,318.7875239757768,11.4798,27721230.0,17.13770913966936
2012,Austria,8429991,449296979861.32,53297.44,57.147,Europe & Central Asia,High income,26.83094993112661,10.883662341432927,15.947306380985893,118.45410596232529,22,0.0067814099427963,0.0045593741811025,0.57147,427.88137904456846,6.219686518258675,67.69296793429002,239.4405715115244,350.8407403816896,12.57234,16767513.0,16.63495388190424
2014,Austria,8546356,452383408466.62,52932.9,57.526,Europe & Central Asia,High income,26.83779590604109,10.876799244359434,15.961015668242924,118.30476180209796,24,0.0065909603114775,0.0078154154072009,0.57526,428.3584809574277,6.256987533310208,68.05599727427487,261.04318186462643,383.0643760378302,13.80624,18950974.0,16.75736593935648
2016,Austria,8736668,466064032926.32,53345.74,57.905,Europe & Central Asia,High income,26.86758887134749,10.884568148958452,15.98303955370508,118.47382378932085,26,0.0196990647014203,0.0108139617427962,0.5790500000000001,429.4257356434333,6.3027091866543925,68.60226766520624,282.99877187291975,415.55902839633205,15.055300000000004,19964816.0,16.80948213239688
2018,Austria,8840521,488149581132.16,55217.29,58.297,Europe & Central Asia,High income,26.913887714547787,10.91904951796373,15.994856482644211,119.22564237574396,28,0.0239643998090137,0.0048707186953933,0.58297,430.4837713841931,6.365478297487315,69.50497273578745,305.73338650298444,447.855981514038,16.32316,20389879.0,16.83054925729546
2020,Austria,8916864,462381747670.5,51854.75,58.748,Europe & Central Asia,High income,26.85965668049673,10.85622110432682,16.003454985381463,117.857536666031,30,-0.0686321305255006,0.0041517668490804,0.58748,429.84730660913,6.37781277436992,69.23894564055989,325.6866331298046,480.1036495614439,17.6244,18979509.0,16.758870534163695
2022,Austria,9041851,505142751774.38,55867.18,59.256,Europe & Central Asia,High income,26.94810690305915,10.93075026630062,16.017374578642567,119.48130138423105,32,0.0469449409037494,0.0095628769080704,0.59256,431.63792245160187,6.477125377799094,70.79983994823995,349.7840085216198,512.5559865165621,18.96192,21010048.0,16.860511405041215
2004,Belgium,10421137,474583444734.03,45540.47,97.35,Europe & Central Asia,High income,26.88570329777546,10.726378618411651,16.159346801378007,115.05519826551868,14,0.0350891548481726,0.0043278820650911,0.9735,434.455403587706,10.442129585023745,112.00623551148244,150.16930065776313,226.2308552192921,13.629,53177307.0,17.78914232196385
2006,Belgium,10547958,497996287418.47,47212.58,97.454,Europe & Central Asia,High income,26.93385845896229,10.762436842056932,16.171442939454966,115.83004677926438,16,0.0252032133692523,0.0065955815224469,0.97454,435.5593552084652,10.48842520005816,112.8810137882643,172.1989894729109,258.74308703127946,15.59264,56462655.0,17.849090021836908
2008,Belgium,10709973,518614543398.3,48423.52,97.555,Europe & Central Asia,High income,26.97442675323528,10.787761575990654,16.186686014783263,116.37579982042035,18,0.0044593297459343,0.0078997677142709,0.97555,436.62657628338894,10.524000805457684,113.53041151481108,194.17970836783172,291.36034826609875,17.5599,38523568.0,17.466780793769345
2010,Belgium,10895586,522689140465.19,47972.56,97.651,Europe & Central Asia,High income,26.982252746605177,10.77840530479228,16.20386840283515,116.17402091437437,20,0.028240386986166,0.0091363930739341,0.97651,437.2168727180275,10.525220564182709,113.44509316309568,215.5681060958456,324.077368056703,19.5302,67202796.0,18.023225426651017
2012,Belgium,11106932,535475461831.32,48210.92,97.744,Europe & Central Asia,High income,27.00642090287548,10.783361572368934,16.223080065899136,116.280886800443,22,0.0073649846253864,0.0062016352332818,0.97744,438.12732860072094,10.540088935296293,113.657589994225,237.23395459211653,356.907761449781,21.50368,55487402.0,17.831666579981427
2014,Belgium,11209057,546426066893.87,48748.62,97.833,Europe & Central Asia,High income,27.026664850680863,10.794452681523818,16.232232759403264,116.52020869365676,24,0.0156620388714436,0.0044392924878273,0.97833,438.7031145666346,10.5605368919152,113.99521577126522,259.0668643565716,389.5735862256784,23.47992,60790006.0,17.92293597487542
2016,Belgium,11331422,564643935471.56,49829.93,97.919,Europe & Central Asia,High income,27.059461166728227,10.81639115455704,16.24309022088116,116.9943176083798,26,0.0125873104595619,0.0050629995765696,0.97919,439.5292690595968,10.591302054630708,114.5596658589494,281.22617001848306,422.3203457429102,25.45894,70316285.0,18.06851399424674
2018,Belgium,11427054,584076515952.73,51113.48,98.001,Europe & Central Asia,High income,27.093297831660923,10.841823102000369,16.251494347279078,117.54512817506888,28,0.0177706150689402,0.0045518465535039,0.98001,440.306576560386,10.62509505819138,115.19540106284924,303.5710468560103,455.0418417238142,27.44028,73575091.0,18.113817102507767
2020,Belgium,11538604,565749192171.58,49030.99,98.079,Europe & Central Asia,High income,27.06141669357142,10.800228221217106,16.261208927855034,116.6449296303744,30,-0.0540421129929171,0.0043099677766669,0.98079,440.0513507379088,10.592755837087523,114.4041805321749,324.0068466365132,487.83626783565103,29.4237,77183369.0,18.161694577282194
2022,Belgium,11685814,622703765727.12,53287.15,98.153,Europe & Central Asia,High income,27.15733674622603,10.883469258981712,16.27388627106243,118.44990311119994,32,0.0296549389724276,0.0085613235980588,0.98153,441.9554096330271,10.68245158176832,116.26213340073608,348.2710162874148,520.7643606739978,31.40896,54965855.0,17.822222750420636
2012,Bosnia and Herzegovina,3674374,40587845652.33,11046.19,46.199,Europe & Central Asia,Upper middle income,24.42673449058993,9.309931375963982,15.116893608138655,86.67482222515861,22,-0.0082523216763199,-0.0185425826668073,0.4619899999999999,369.256346488499,4.3010951963816,40.04290111980102,204.8184902712076,332.57165937905046,10.16378,5670031.0,15.550705319426989
2014,Bosnia and Herzegovina,3571068,42020930074.41,11767.05,46.84,Europe & Central Asia,Upper middle income,24.461433666230874,9.37314351108258,15.08837554870859,87.85581927934946,24,0.0114724499803138,-0.0129347746817209,0.4684,369.0832976159151,4.390380420591081,41.15166575044729,224.9554442659819,362.1210131690062,11.241600000000002,5361945.0,15.494837526858252
2016,Bosnia and Herzegovina,3480986,45255239482.3,13000.7,47.518,Europe & Central Asia,Upper middle income,24.535584290075427,9.472835397124893,15.062826432227569,89.73461046102233,26,0.0319080329831322,-0.0123730543028077,0.47518,369.5752475746956,4.501301924005807,42.64009219886859,246.2937203252472,391.6334872379167,12.35468,6150411.0,15.632029629408764
2018,Bosnia and Herzegovina,3400129,48511701569.8,14267.61,48.245,Europe & Central Asia,Upper middle income,24.605070875290075,9.565817298578636,15.039324224149556,91.50486058978623,28,0.0375606745646202,-0.0116659447017823,0.48245,370.0436384516668,4.615028555699262,44.14651999154238,267.84288436020177,421.1010782761876,13.5086,7597421.0,15.84331953718534
2020,Bosnia and Herzegovina,3318407,48407494576.93,14587.57,49.02,Europe & Central Asia,Upper middle income,24.602920485332938,9.587993624376091,15.014995707814824,91.92962174107656,30,-0.0306148396724701,-0.0126677064378242,0.4902,369.41274548698345,4.7000344746691605,45.063900577475735,287.6398087312828,450.4498712344448,14.706,7194654.0,15.788848947188717
2022,Bosnia and Herzegovina,3233526,54120255478.63,16737.23,49.841,Europe & Central Asia,Upper middle income,24.714474360851863,9.725450603686127,14.98908404991897,94.58438944473886,32,0.0402416047486831,-0.011505136308255,0.49841,370.447333444376,4.847261835383203,47.14180554315229,311.2144193179561,479.6506895974071,15.94912,7385091.0,15.814973931554515
2004,Bulgaria,7716860,105744870152.77,13703.1,70.233,Europe & Central Asia,High income,25.38429514451198,9.525450337116853,15.85891823309662,90.73420412487955,14,0.0630726880068479,-0.0075479685383026,0.70233,402.5674611016071,6.690009535267279,63.72535358302667,133.35630471963594,222.0248552633527,9.83262,200276681.0,19.11521037848232
2006,Bulgaria,7601022,120907578131.47,15906.75,70.932,Europe & Central Asia,High income,25.51829227359923,9.674561690840754,15.843793401461244,93.59714390988351,16,0.0658119874553939,-0.0075950581598789,0.7093200000000001,404.3065507410109,6.862360098547164,66.39032611815858,154.79298705345207,253.50069442337988,11.34912,162612553.0,18.906880959969687
2008,Bulgaria,7492561,136857501489.16,18265.78,71.622,Europe & Central Asia,High income,25.6422060863503,9.812839388628312,15.829421353080326,96.29181686701529,18,0.0594904142558228,-0.0070192265119146,0.71622,405.9012845633597,7.028151826923369,68.96612507649367,176.6311089953096,284.92958435544585,12.89196,165603149.0,18.925104821473653
2010,Bulgaria,7395599,134334064239.33,18164.05,72.302,Europe & Central Asia,High income,25.623595551205195,9.80725469719762,15.816395786738337,96.18224469570475,20,0.0154338777309028,-0.0065827535791918,0.7230200000000001,405.272928717169,7.090841291167823,69.54168655988848,196.1450939439524,316.3279157347667,14.460400000000002,167069337.0,18.933919481815146
2012,Bulgaria,7305888,138168820917.08,18911.98,72.975,Europe & Central Asia,High income,25.65174211441905,9.8476037378142,15.80419129322989,96.9752993770122,22,0.0074602510270693,-0.0057922051731207,0.7297499999999999,405.40503938088005,7.186288827669912,70.76772472037464,216.6472822319124,347.6922084510576,16.054499999999997,160701132.0,18.895056881087367
2014,Bulgaria,7223938,138723629614.98,19203.33,73.651,Europe & Central Asia,High income,25.655749514688104,9.862891053423208,15.792910929968002,97.27661993169554,24,0.0094496958615124,-0.0056838918559485,0.73651,405.178966927039,7.264117889756726,71.64520334589308,236.70938528215697,379.02986231923205,17.67624,179420304.0,19.00524168401594
2016,Bulgaria,7127822,147778139784.14,20732.58,74.329,Europe & Central Asia,High income,25.71897793049687,9.9395098870945,15.77951641617464,98.79385679564932,26,0.0298172969087353,-0.0070138199978497,0.7432899999999999,405.8330344615087,7.38793830397847,73.43248581763817,258.427257064457,410.2674268205407,19.32554,119944744.0,18.602541736369496
2018,Bulgaria,7025037,155927858860.54,22196.02,75.008,Europe & Central Asia,High income,25.77265929404086,10.007713324615915,15.764991182422122,100.15432598769492,28,0.0265923343257732,-0.0072208030280638,0.75008,406.3057465181237,7.506585610527906,75.1237568368502,280.2159730892456,441.4197531078194,21.00224,131368507.0,18.693516970145907
2020,Bulgaria,6934015,155785950345.01,22466.92,75.686,Europe & Central Asia,High income,25.77174878882009,10.019843793026435,15.75194971269488,100.39726963665042,30,-0.0404695164005772,-0.0060024143215997,0.7568600000000001,405.95529092969934,7.58361897318999,75.98667749719525,300.5953137907931,472.5584913808464,22.705800000000004,119666466.0,18.60021898925937
2022,Bulgaria,6465097,174307363231.73,26961.29,76.363,Europe & Central Asia,High income,25.88408603317409,10.202194502071809,15.681928728619225,104.08477265810424,32,0.0385130803520006,-0.0618725205403105,0.76363,405.9123923776843,7.790701787617095,79.48225494490815,326.4702240662979,501.82171931581513,24.43616,101708986.0,18.437626224862868
2006,Croatia,4311159,107775876089.72,24999.28,54.483,Europe & Central Asia,High income,25.403319686432862,10.126642303787618,15.276717567399167,102.548884348861,16,0.0495216623232082,0.0002352311829962,0.5448299999999999,388.07934012398607,5.517298526372607,55.87170865978993,162.02627686060188,244.4274810783867,8.717279999999999,7584477.0,15.84161434835701
2008,Croatia,4309705,115523632790.89,26805.46,54.819,Europe & Central Asia,High income,25.47274095889469,10.196398182228442,15.27638024629621,103.96653589055148,18,0.0199168699735103,-0.0001187945509979,0.5481900000000001,389.1312768034792,5.589563519515811,56.993415309841424,183.535167280112,274.9748444333318,9.86742,5751009.0,15.564886049522409
2010,Croatia,4295427,105852855062.33,24643.15,55.155,Europe & Central Asia,High income,25.3853158068922,10.112294828790178,15.27306175919238,102.25850670437656,20,-0.0125086210823006,-0.0022682121807289,0.55155,387.7114960952672,5.577436212819222,56.4006793727989,202.2458965758036,305.46123518384763,11.031,5999199.0,15.607136684969316
2012,Croatia,4267558,103290252427.34,24203.6,55.506,Europe & Central Asia,High income,25.360808846841724,10.094297976725988,15.266552558979884,101.89485164293438,22,-0.0236771730048808,-0.0030565587328226,0.55506,387.1721211985512,5.602941034961527,56.55775635292716,222.0745554879717,335.86415629755743,12.21132,2424587.0,14.70117217101239
2014,Croatia,4238389,102442519847.03,24170.16,55.923,Europe & Central Asia,High income,25.352567696257417,10.092915465926106,15.25969403811626,101.86694260233038,24,-0.0042653212468266,-0.0040734308886509,0.55923,386.8724261255182,5.644261116009856,56.96705031150122,242.22997118222656,366.2326569147903,13.42152,2602072.0,14.77181899300309
2016,Croatia,4174349,108768040005.23,26056.29,56.403,Europe & Central Asia,High income,25.412483378272547,10.168052854480935,15.244469215523608,103.38929885151788,26,0.0350030604713147,-0.0069838329059201,0.56403,387.3998205500812,5.735086851512882,58.31466623122164,264.3693742165043,396.3561996036138,14.66478,3328642.0,15.01807527139537
2018,Croatia,4087843,115637585846.39,28288.17,56.947,Europe & Central Asia,High income,25.47372687742723,10.250234324876176,15.22352824966788,105.06730371486972,28,0.0278128433928479,-0.0089348671011286,0.56947,387.80000074283737,5.837200940987236,59.832677446506864,287.0065610965329,426.2587909907007,15.94516,3630439.0,15.10486441101665
2020,Croatia,4047680,109296262079.98,27002.2,57.553,Europe & Central Asia,High income,25.41732803283396,10.20371065648222,15.213654682496388,104.11571116120884,30,-0.0898308799841132,-0.0043321011404255,0.57553,386.6904516432711,5.872541594125212,59.92171524461052,306.1113196944666,456.4096404748916,17.2659,4221692.0,15.2557467903932
2022,Croatia,3855641,132256136091.93,34302.35,58.219,Europe & Central Asia,High income,25.60800630428659,10.442998296023342,15.165048088078809,109.05621341074642,32,0.0615382235696024,-0.0060352179613012,0.58219,388.3466470443314,6.079809177961829,63.49143688560246,334.17594547274695,485.2815388185218,18.63008,5425895.0,15.506693605043496
2004,Cyprus,1018684,26570278812.94,36498.64,68.41,Europe & Central Asia,High income,24.003059090224987,10.505057676508244,13.834023137820688,110.35623678676478,14,0.0490410272296308,0.0181616414425018,0.6840999999999999,332.0588748326496,7.186509956499289,75.49470158582578,147.07080747111542,193.67632392948963,9.5774,1564160.0,14.262860135965784
2006,Cyprus,1055438,29172995660.05,38847.34,68.125,Europe & Central Asia,High income,24.0965093121952,10.567420626440178,13.869467352085064,111.67037869611332,16,0.0460610021109069,0.0175641145490192,0.68125,334.20574920470506,7.199055301762372,76.0754454867272,169.07873002304285,221.91147763336105,10.9,636715.0,13.364078995263744
2008,Cyprus,1092390,31778376802.28,40398.02,67.839,Europe & Central Asia,High income,24.182051920705245,10.606560806229282,13.90387942980736,112.49913213623915,18,0.0358188949720457,0.0170962010745139,0.6783899999999999,336.2243342708272,7.1953847853378825,76.31828624990328,190.91809451212708,250.2698297365325,12.21102,988950.0,13.804400064382513
2010,Cyprus,1129686,31765294262.22,38297.0,67.551,Europe & Central Asia,High income,24.181640155378336,10.553152954484112,13.937451161168946,111.36903728073676,20,0.0199466924763065,0.0167025950505834,0.67551,337.0304286625474,7.128760352283563,75.23089837351048,211.06305908968224,278.7490232233789,13.5102,872617.0,13.679253167467143
2012,Cyprus,1156556,30793523710.59,35642.92,67.261,Europe & Central Asia,High income,24.15057023571207,10.48133386431308,13.96095804607981,109.85835957519616,22,-0.0350762629559184,0.0099668714631082,0.6726099999999999,337.16509784968,7.049849970475619,73.89183123387268,230.58934501488773,307.1410770137558,14.79742,643667.0,13.374938344205958
2014,Cyprus,1176995,28249205332.25,33136.74,67.031,Europe & Central Asia,High income,24.06433116434675,10.408428093121035,13.97847598776595,108.33537536967118,24,-0.0184624786103704,0.0085556406889857,0.6703100000000001,336.3826753424689,6.976873435099962,72.6182854640443,249.80227423490484,335.48342370638284,16.08744,1641878.0,14.31135187565803
2016,Cyprus,1197881,31089944544.98,36509.36,66.881,Europe & Central Asia,High income,24.1601502773545,10.505351334913314,13.996065555310508,110.36240666996495,26,0.0625479894625193,0.0088891784798601,0.66881,338.147047108007,7.026084026303374,73.81148120493927,273.13913470774617,363.8977044380732,17.38906,2013277.0,14.515274797421505
2018,Cyprus,1218831,34782981620.86,39977.31,66.81,Europe & Central Asia,High income,24.272394070256187,10.596092336025372,14.01340358108214,112.27717279357566,28,0.0553669820244699,0.0084932428239117,0.6681,340.138853985565,7.079249289698552,75.0123791433879,296.69058540871043,392.37530027029993,18.7068,1321085.0,14.093964683580714
2020,Cyprus,1237537,35565947258.67,39871.87,66.821,Europe & Central Asia,High income,24.2946544793806,10.593451421732512,14.028634480024238,112.22121302460658,30,-0.0344968373104919,0.0070557284249268,0.66821,340.8208275097139,7.078650174515881,74.98733675517236,317.80354265197536,420.8590344007271,20.0463,1064328.0,13.87785511161432
2022,Cyprus,1251488,41068271475.66,44996.32,66.911,Europe & Central Asia,High income,24.43850167677961,10.7143582114234,14.03984460036268,114.79747188269602,32,0.0493436318407525,0.0058501303610505,0.66911,343.11276580768856,7.16908422284551,76.81213641143073,342.8594627655488,449.2750272116058,21.41152,2000785.0,14.509050661319948
2004,Czechia,10197101,291048255139.48,28542.25,73.671,Europe & Central Asia,High income,26.39675491559544,10.25917575981032,16.137614120238375,105.25068727067966,14,0.0470196548972481,0.0003043484531737,0.7367100000000001,425.9806448543847,7.558037374009862,77.53923381918243,143.6284606373445,225.9265976833373,10.31394,25677622.0,17.061130470196584
