iter	Passed	Remaining
0	1	1834
1	3	1686
2	4	1637
3	6	1575
4	7	1553
5	9	1533
6	10	1550
7	12	1542
8	13	1523
9	15	1518
10	16	1499
11	18	1485
12	19	1461
13	20	1438
14	21	1428
15	22	1411
16	24	1407
17	25	1388
18	26	1371
19	27	1362
20	28	1346
21	30	1339
22	31	1329
23	32	1321
24	33	1310
25	34	1303
26	35	1297
27	37	1291
28	38	1293
29	39	1291
30	41	1285
31	42	1283
32	43	1280
33	44	1274
34	46	1271
35	47	1267
36	48	1264
37	49	1260
38	50	1256
39	52	1253
40	53	1249
41	54	1247
42	55	1242
43	57	1239
44	58	1238
45	59	1234
46	60	1229
47	61	1226
48	63	1224
49	64	1222
50	65	1218
51	66	1216
52	67	1213
53	69	1211
54	70	1210
55	71	1207
56	72	1204
57	74	1203
58	75	1201
59	76	1199
60	77	1199
61	79	1198
62	80	1195
63	81	1194
64	82	1193
65	84	1193
66	85	1192
67	86	1191
68	88	1191
69	89	1188
70	90	1186
71	91	1184
72	93	1181
73	94	1179
74	95	1177
75	96	1174
76	97	1173
77	99	1173
78	100	1170
79	101	1169
80	102	1167
81	104	1164
82	105	1163
83	106	1161
84	107	1159
85	108	1157
86	110	1156
87	111	1154
88	112	1152
89	114	1153
90	115	1152
91	116	1151
92	117	1150
93	119	1148
94	120	1146
95	121	1144
96	122	1141
97	123	1139
98	124	1137
99	126	1136
100	127	1135
101	128	1134
102	130	1134
103	131	1133
104	132	1133
105	134	1132
106	135	1132
107	136	1130
108	138	1129
109	139	1126
110	140	1125
111	141	1124
112	142	1122
113	144	1121
114	145	1118
115	146	1116
116	147	1114
117	148	1113
118	150	1112
119	151	1111
120	152	1110
121	154	1108
122	155	1107
123	156	1105
124	157	1103
125	158	1102
126	160	1100
127	161	1098
128	162	1097
129	163	1095
130	164	1094
131	166	1092
132	167	1090
133	168	1090
134	169	1088
135	171	1086
136	172	1085
137	173	1083
138	174	1081
139	175	1079
140	177	1078
141	178	1078
142	179	1076
143	180	1074
144	182	1073
145	183	1073
146	184	1071
147	186	1071
148	187	1069
149	188	1068
150	189	1067
151	191	1066
152	192	1064
153	193	1062
154	194	1060
155	195	1058
156	196	1057
157	198	1057
158	199	1055
159	200	1053
160	201	1052
161	203	1050
162	204	1049
163	205	1047
164	206	1046
165	207	1044
166	208	1042
167	210	1040
168	211	1039
169	212	1038
170	213	1036
171	214	1034
172	216	1033
173	217	1032
174	218	1030
175	219	1029
176	220	1027
177	222	1026
178	223	1025
179	224	1023
180	225	1021
181	227	1020
182	228	1018
183	229	1017
184	230	1017
185	232	1015
186	233	1014
187	234	1012
188	235	1011
189	236	1009
190	238	1008
191	239	1006
192	240	1005
193	241	1003
194	242	1002
195	244	1000
196	245	999
197	246	997
198	247	996
199	248	994
200	249	993
201	251	991
202	252	990
203	253	988
204	254	987
205	255	986
206	257	984
207	258	983
208	259	982
209	260	980
210	261	978
211	262	977
212	264	976
213	265	974
214	266	973
215	267	972
216	269	970
217	270	969
218	271	968
219	272	966
220	273	965
221	275	964
222	276	962
223	277	960
224	278	959
225	279	957
226	280	956
227	282	955
228	283	953
229	284	951
230	285	950
231	286	949
232	287	947
233	288	946
234	290	944
235	291	943
236	292	941
237	293	940
238	294	938
239	295	937
240	297	935
241	298	934
242	299	933
243	300	932
244	301	930
245	303	929
246	304	928
247	305	927
248	306	925
249	308	924
250	309	923
251	310	921
252	311	920
253	313	919
254	314	918
255	315	918
256	317	916
257	318	915
258	319	914
259	320	913
260	322	912
261	323	910
262	324	909
263	325	907
264	326	906
265	328	905
266	329	903
267	330	902
268	331	900
269	332	899
270	334	898
271	335	897
272	336	896
273	337	895
274	339	894
275	340	892
276	341	891
277	342	890
278	344	889
279	345	888
280	347	888
281	348	887
282	350	886
283	351	886
284	352	885
285	354	884
286	355	883
287	356	882
288	358	881
289	359	880
290	361	879
291	362	878
292	363	878
293	365	877
294	368	880
295	369	879
296	371	879
297	374	882
298	376	881
299	377	880
300	378	879
301	380	878
302	381	877
303	383	877
304	384	876
305	385	875
306	387	874
307	388	873
308	389	871
309	391	870
310	392	869
311	393	868
312	395	867
313	396	865
314	397	864
315	398	863
316	400	862
317	401	860
318	402	859
319	403	858
320	405	856
321	406	855
322	407	854
323	408	853
324	410	851
325	411	850
326	412	849
327	413	847
328	414	846
329	416	844
330	417	843
331	418	842
332	419	840
333	421	839
334	422	838
335	423	836
336	424	835
337	425	833
338	426	832
339	428	831
340	429	830
341	430	828
342	431	827
343	433	826
344	434	825
345	435	823
346	437	822
347	438	821
348	439	820
349	440	818
350	442	817
351	443	816
352	444	815
353	445	813
354	447	812
355	448	811
356	449	809
357	450	808
358	452	807
359	453	805
360	454	804
361	455	803
362	457	802
363	458	800
364	459	799
365	460	797
366	461	796
367	463	795
368	464	793
369	465	792
370	466	791
371	467	789
372	468	788
373	470	786
374	471	785
375	472	783
376	473	782
377	474	781
378	475	779
379	476	778
380	478	776
381	479	775
382	480	774
383	481	773
384	483	771
385	484	770
386	485	769
387	487	768
388	488	766
389	489	765
390	490	763
391	491	762
392	492	760
393	493	759
394	494	757
395	495	756
396	496	754
397	497	752
398	498	751
399	499	749
400	500	748
401	501	746
402	502	744
403	503	743
404	504	741
405	505	740
406	507	738
407	508	737
408	509	735
409	510	734
410	511	732
411	512	731
412	513	729
413	514	728
414	516	727
415	517	725
416	518	724
417	519	723
418	520	721
419	521	720
420	522	718
421	523	717
422	524	715
423	525	713
424	526	712
425	527	711
426	528	709
427	529	707
428	530	706
429	531	704
430	532	703
431	533	701
432	534	700
433	535	698
434	536	696
435	537	695
436	538	694
437	539	692
438	540	691
439	541	689
440	543	688
441	544	686
442	544	685
443	545	683
444	547	682
445	548	681
446	549	679
447	550	678
448	551	676
449	552	675
450	553	673
451	554	672
452	555	670
453	556	669
454	557	667
455	558	666
456	559	664
457	560	663
458	561	662
459	562	660
460	563	659
461	564	657
462	566	656
463	567	655
464	568	653
465	569	652
466	570	650
467	571	649
468	572	648
469	573	646
470	574	645
471	575	644
472	576	642
473	577	641
474	578	639
475	580	638
476	580	637
477	581	635
478	583	634
479	584	632
480	585	631
481	586	630
482	587	628
483	588	627
484	589	625
485	590	624
486	591	623
487	592	621
488	593	620
489	594	619
490	595	617
491	596	616
492	597	614
493	599	613
494	600	612
495	601	610
496	602	609
497	603	608
498	604	606
499	605	605
500	606	603
501	607	602
502	608	601
503	609	599
504	610	598
505	611	597
506	612	595
507	613	594
508	614	592
509	615	591
510	616	590
511	617	588
512	618	587
513	619	585
514	620	584
515	621	583
516	622	581
517	623	580
518	624	579
519	625	577
520	626	576
521	627	574
522	628	573
523	629	572
524	631	571
525	632	569
526	633	568
527	634	567
528	635	565
529	636	564
530	637	563
531	638	562
532	640	560
533	641	559
534	642	558
535	643	556
536	644	555
537	645	554
538	646	552
539	647	551
540	648	550
541	649	548
542	650	547
543	651	546
544	652	544
545	653	543
546	654	541
547	655	540
548	656	539
549	657	537
550	658	536
551	659	535
552	660	533
553	661	532
554	662	531
555	663	529
556	664	528
557	665	527
558	666	525
559	667	524
560	668	523
561	669	521
562	670	520
563	671	518
564	672	517
565	673	516
566	674	514
567	675	513
568	676	512
569	677	510
570	678	509
571	679	508
572	680	506
573	681	505
574	681	504
575	682	502
576	683	501
577	684	500
578	685	498
579	686	497
580	687	496
581	688	494
582	689	493
583	690	492
584	692	491
585	693	489
586	694	488
587	695	487
588	696	485
589	697	484
590	698	483
591	699	482
592	700	480
593	701	479
594	702	478
595	703	476
596	704	475
597	705	474
598	706	472
599	707	471
600	708	470
601	709	469
602	710	467
603	711	466
604	712	465
605	713	463
606	714	462
607	715	461
608	716	460
609	717	458
610	718	457
611	719	456
612	721	455
613	722	453
614	723	452
615	724	451
616	725	450
617	726	448
618	727	447
619	728	446
620	729	445
621	730	443
622	731	442
623	732	441
624	733	439
625	734	438
626	735	437
627	736	436
628	737	435
629	738	433
630	739	432
631	740	431
632	741	429
633	742	428
634	743	427
635	744	426
636	745	424
637	746	423
638	748	422
639	749	421
640	750	420
641	751	419
642	752	417
643	753	416
644	754	415
645	755	414
646	756	412
647	757	411
648	758	410
649	759	409
650	760	407
651	761	406
652	762	405
653	763	403
654	764	402
655	765	401
656	766	400
657	767	399
658	768	397
659	770	396
660	771	395
661	772	394
662	773	392
663	774	391
664	775	390
665	776	389
666	777	388
667	778	386
668	779	385
669	780	384
670	781	383
671	782	381
672	783	380
673	784	379
674	785	378
675	786	376
676	787	375
677	788	374
678	789	373
679	790	371
680	791	370
681	792	369
682	793	368
683	794	366
684	795	365
685	796	364
686	797	363
687	798	361
688	799	360
689	800	359
690	801	358
691	802	357
692	803	355
693	804	354
694	805	353
695	806	352
696	808	351
697	809	350
698	810	348
699	811	347
700	812	346
701	813	345
702	814	343
703	815	342
704	816	341
705	817	340
706	818	339
707	819	337
708	820	336
709	821	335
710	822	334
711	823	333
712	824	331
713	825	330
714	826	329
715	827	328
716	828	327
717	829	325
718	831	324
719	832	323
720	833	322
721	834	321
722	835	320
723	836	318
724	837	317
725	838	316
726	839	315
727	840	314
728	841	312
729	842	311
730	843	310
731	844	309
732	845	308
733	846	306
734	847	305
735	848	304
736	849	303
737	850	301
738	851	300
739	852	299
740	853	298
741	854	297
742	855	295
743	856	294
744	857	293
745	858	292
746	859	291
747	860	289
748	861	288
749	862	287
750	863	286
751	864	285
752	865	283
753	866	282
754	868	281
755	869	280
756	870	279
757	871	278
758	882	280
759	883	279
760	884	277
761	885	276
762	886	275
763	887	274
764	889	273
765	890	271
766	891	270
767	892	269
768	893	268
769	894	267
770	894	265
771	895	264
772	896	263
773	897	262
774	898	260
775	900	259
776	901	258
777	902	257
778	903	256
779	904	255
780	905	253
781	906	252
782	907	251
783	908	250
784	909	249
785	910	247
786	911	246
787	912	245
788	913	244
789	914	243
790	915	241
791	916	240
792	917	239
793	918	238
794	920	237
795	921	236
796	922	234
797	923	233
798	924	232
799	925	231
800	927	230
801	928	229
802	929	227
803	930	226
804	931	225
805	932	224
806	933	223
807	934	222
808	936	221
809	937	219
810	938	218
811	939	217
812	940	216
813	941	215
814	942	213
815	943	212
816	944	211
817	945	210
818	946	209
819	947	208
820	948	206
821	949	205
822	950	204
823	952	203
824	953	202
825	954	200
826	954	199
827	956	198
828	957	197
829	958	196
830	958	195
831	960	193
832	961	192
833	961	191
834	962	190
835	964	189
836	965	187
837	966	186
838	967	185
839	968	184
840	969	183
841	970	182
842	971	180
843	972	179
844	973	178
845	974	177
846	975	176
847	976	174
848	977	173
849	978	172
850	979	171
851	980	170
852	981	169
853	982	167
854	983	166
855	984	165
856	985	164
857	986	163
858	987	162
859	988	160
860	989	159
861	990	158
862	991	157
863	993	156
864	993	155
865	994	153
866	996	152
867	997	151
868	997	150
869	998	149
870	1000	148
871	1001	146
872	1002	145
873	1003	144
874	1004	143
