iter	RMSE
0	1.471825855
1	1.415891541
2	1.364211509
3	1.312625598
4	1.261744722
5	1.213151058
6	1.167951139
7	1.124104434
8	1.082410633
9	1.042006028
10	1.005216916
11	0.9689363726
12	0.9349415408
13	0.900259758
14	0.8675649586
15	0.8354424944
16	0.8040469344
17	0.7752203676
18	0.7491967758
19	0.723467869
20	0.6986603359
21	0.6745757631
22	0.6522805689
23	0.6306513734
24	0.6095103041
25	0.5906173066
26	0.5718160554
27	0.553335938
28	0.5360390414
29	0.5189118406
30	0.5026791748
31	0.486956079
32	0.4720103075
33	0.4573756175
34	0.4450221069
35	0.4322309543
36	0.4202014546
37	0.4086390696
38	0.3977120947
39	0.3873154606
40	0.3777665756
41	0.3683739547
42	0.3593417237
43	0.3515270796
44	0.342673321
45	0.3356978625
46	0.3281106015
47	0.3219883965
48	0.3150086867
49	0.3088837552
50	0.3031216572
51	0.2973666359
52	0.2913403959
53	0.286150225
54	0.2810960234
55	0.2758621863
56	0.2709136068
57	0.2663906129
58	0.262819458
59	0.2591385643
60	0.2553331026
61	0.2521465087
62	0.2480728382
63	0.2447274344
64	0.2418144993
65	0.2390023778
66	0.2357631086
67	0.2324035929
68	0.2297818952
69	0.226915127
70	0.2250202771
71	0.2231161234
72	0.2204344753
73	0.2185620592
74	0.2167958801
75	0.2147092402
76	0.2131159779
77	0.2112249852
78	0.2094898471
79	0.2079893431
80	0.2061921902
81	0.2043714588
82	0.203277953
83	0.2011259726
84	0.1998601934
85	0.1986057631
86	0.1971772997
87	0.1960877699
88	0.1946072167
89	0.1930670198
90	0.1918023841
91	0.1908517841
92	0.1894274859
93	0.1878334657
94	0.1865214353
95	0.1853268036
96	0.1842602823
97	0.1831646618
98	0.182470118
99	0.1816710849
100	0.1808068073
101	0.1799936192
102	0.1794203496
103	0.1786656379
104	0.1777332235
105	0.1768254253
106	0.1761750419
107	0.1756257089
108	0.1749302624
109	0.1740862364
110	0.1730348571
111	0.1720355791
112	0.1715506584
113	0.1705058115
114	0.1698954319
115	0.1694664013
116	0.1688681425
117	0.1682245805
118	0.1677739673
119	0.16704405
120	0.1663478921
121	0.1656994041
122	0.1653761979
123	0.1647911911
124	0.1640441373
125	0.1634595352
126	0.1628425557
127	0.1624016516
128	0.1617628257
129	0.1610271979
130	0.1604170417
131	0.1601110197
132	0.1595484554
133	0.1590719703
134	0.1588447836
135	0.1583145143
136	0.157699763
137	0.1571556499
138	0.1567683958
139	0.156272241
140	0.1556627598
141	0.1551799413
142	0.1548421417
143	0.1545723901
144	0.1536803906
145	0.1530367473
146	0.1525546448
147	0.151878693
148	0.1514116796
149	0.1509601943
150	0.1505180123
151	0.1502926093
152	0.1497739735
153	0.1492748363
154	0.148903714
155	0.1484051276
156	0.1480491288
157	0.1475396848
158	0.1471111116
159	0.1467220213
160	0.1463864151
161	0.1458202581
162	0.1453131037
163	0.145012654
164	0.1444962361
165	0.1441203658
166	0.1436350721
167	0.1430233438
168	0.1428200554
169	0.1417440018
170	0.1413791518
171	0.1407732379
172	0.1402697836
173	0.1399537213
174	0.1396814146
175	0.1394108585
176	0.1391357985
177	0.1384266115
178	0.1382591172
179	0.1377802785
180	0.1370634017
181	0.1367201998
182	0.1362082082
183	0.1357188241
184	0.1352131304
185	0.1348701422
186	0.133834273
187	0.1334830136
188	0.1330235498
189	0.1325228781
190	0.1319400857
191	0.1315927285
192	0.1312483015
193	0.1309605963
194	0.1308013887
195	0.1303300003
196	0.1302182925
197	0.1297130076
198	0.1295205317
199	0.1290068849
200	0.1285507795
201	0.1280453111
202	0.1275225396
203	0.1271500132
204	0.1269533245
205	0.1267271235
206	0.126419755
207	0.1259613829
208	0.1258030875
209	0.1255691927
210	0.1252793348
211	0.1251351216
212	0.1248730292
213	0.1244252072
214	0.1241479221
215	0.1240203173
216	0.1236837772
217	0.1234187005
218	0.1230462813
219	0.1224617953
220	0.1219803471
221	0.1217297395
222	0.1212149441
223	0.120710606
224	0.1203832621
225	0.1200451403
226	0.1196980032
227	0.1193568983
228	0.1189265203
229	0.1183219626
230	0.1177938021
231	0.1173269534
232	0.1168060791
233	0.1166360835
234	0.1164475432
235	0.1160209535
236	0.1157200271
237	0.1153085943
238	0.115112444
239	0.1149827175
240	0.1146649603
241	0.1144520667
242	0.1139567479
243	0.1137687639
244	0.113625699
245	0.1134100645
246	0.1130217779
247	0.1126905097
248	0.1124272397
249	0.1121613656
250	0.1119693597
251	0.1117885216
252	0.1114783449
253	0.1111549936
254	0.1108394125
255	0.1102499873
256	0.1099946966
257	0.1098674718
258	0.1096524612
259	0.1093238461
260	0.1089627374
261	0.1085386837
262	0.1082233065
263	0.1078360117
264	0.1074813985
265	0.1070837293
266	0.1067671075
267	0.106669368
268	0.106367522
269	0.1061947138
270	0.1058090431
271	0.1055717731
272	0.1051952013
273	0.1048516647
274	0.1046371689
275	0.1042195827
276	0.1039514885
277	0.1037907128
278	0.1035178742
279	0.1033102586
280	0.1030468398
281	0.1027808271
282	0.1023038435
283	0.1021210996
284	0.1018122045
285	0.1014080981
286	0.1012380495
287	0.1009967604
288	0.1008311186
289	0.1005510047
290	0.1003041472
291	0.1000523349
292	0.09988984694
293	0.09958917725
294	0.09942102946
295	0.09928345696
296	0.09897354674
297	0.09883581376
298	0.09849142841
299	0.0982359371
300	0.09812821214
301	0.0978490914
302	0.09769680165
303	0.09738468409
304	0.09721154819
305	0.09681518407
306	0.09657425414
307	0.09631114614
308	0.09601159262
309	0.09588260456
310	0.09564207466
311	0.09532179891
312	0.09509189677
313	0.09496316507
314	0.09466306915
315	0.0944577056
316	0.09422151958
317	0.09392845229
318	0.09382556398
319	0.09356960588
320	0.09328527118
321	0.09307236711
322	0.0930209994
323	0.09277321075
324	0.09254774536
325	0.09244379757
326	0.09221101008
327	0.09191757984
328	0.09178565884
329	0.09134308622
330	0.09125215277
331	0.09101688803
332	0.09075387007
333	0.09048326102
334	0.09020929716
335	0.09001311281
336	0.08983501616
337	0.08965583128
338	0.089329993
339	0.08911202118
340	0.08885531399
341	0.08872366865
342	0.0885553659
343	0.08844437967
344	0.0883147276
345	0.0880606357
346	0.08791641753
347	0.08767585019
348	0.08747919551
349	0.08738675658
350	0.08704819703
351	0.08691877461
352	0.08667383699
353	0.08651576482
354	0.0863432863
355	0.08616443693
356	0.08598137382
357	0.08588644977
358	0.08572304111
359	0.08553041913
360	0.08538782916
361	0.08526894015
362	0.08511848002
363	0.08497089238
364	0.08474716987
365	0.08461000193
366	0.08451913338
367	0.08438252722
368	0.08420600321
369	0.08400612436
370	0.083874461
371	0.0836646228
372	0.08358196023
373	0.08343751168
374	0.08323827603
375	0.08301539556
376	0.08289045231
377	0.08273339194
378	0.08267327824
379	0.08249261246
380	0.08237182932
381	0.08210929227
382	0.08195775633
383	0.08186356797
384	0.08172649929
385	0.08150224177
386	0.08133951709
387	0.08131797521
388	0.08119317764
389	0.08101050948
390	0.08078122946
391	0.08071253003
392	0.08056466994
393	0.08053416159
394	0.08028228425
395	0.08007407304
396	0.08005705729
397	0.07980301436
398	0.07958115331
399	0.07932162012
400	0.07925672703
401	0.07903808985
402	0.07899236452
403	0.07886444356
404	0.07867647891
405	0.07849410926
406	0.07832826889
407	0.0781697619
408	0.07806038425
409	0.07802084143
410	0.07789778945
411	0.07781812098
412	0.07768139376
413	0.07754333198
414	0.07746206885
415	0.07732118508
416	0.07713121158
417	0.07695145139
418	0.07678217604
419	0.07661091293
420	0.07650506042
421	0.07637982072
422	0.0762913045
423	0.07615743498
424	0.07607848642
425	0.07589752648
426	0.07587224713
427	0.07574322433
428	0.07565413523
429	0.07553115123
430	0.07541435271
431	0.07524538905
432	0.07506210398
433	0.0749140556
434	0.07484218537
435	0.07463522456
436	0.07454245643
437	0.07435220179
438	0.07416186922
439	0.07399822604
440	0.07388319419
441	0.07374124939
442	0.07365143813
443	0.07342820089
444	0.07336629655
445	0.07317441537
446	0.07302623616
447	0.07284996639
448	0.07267458105
449	0.07255898183
