iter	Passed	Remaining
0	148	148024
1	154	77169
2	161	53569
3	166	41469
4	173	34450
5	178	29490
6	183	26086
7	189	23528
8	195	21530
9	202	20070
10	208	18748
11	213	17560
12	217	16524
13	225	15848
14	230	15129
15	236	14515
16	242	13996
17	247	13522
18	254	13125
19	260	12770
20	267	12462
21	273	12158
22	279	11851
23	285	11607
24	292	11402
25	297	11129
26	304	10957
27	310	10788
28	316	10603
29	322	10434
30	327	10245
31	332	10052
32	339	9940
33	345	9804
34	351	9690
35	357	9562
36	364	9479
37	368	9333
38	375	9241
39	381	9167
40	387	9059
41	391	8933
42	397	8835
43	403	8762
44	407	8654
45	414	8603
46	420	8535
47	426	8462
48	432	8395
49	437	8316
50	444	8262
51	450	8213
52	455	8138
53	461	8082
54	467	8029
55	472	7972
56	479	7936
57	485	7890
58	491	7841
59	497	7787
60	502	7739
61	508	7695
62	514	7647
63	519	7592
64	526	7571
65	534	7562
66	539	7509
67	546	7484
68	551	7440
69	556	7396
70	561	7342771	565	7294772	570	7246773	575	720374	598	7378
75	604	7343
776	593	7114777	599	7091778	605	7057779	612	704880	634	7201
81	639	7164
882	630	6961883	635	6933884	641	6908885	647	6885886	654	6868887	660	6850888	667	6831889	672	6797990	678	6774991	685	6762992	691	6744993	696	6717994	702	6690995	708	6672996	729	6788997	737	6785998	742	6759999	749	6748
100	755	67211101	746	6572
102	752	65541103	758	6533
104	765	6529
105	773	6523
106	779	6502
107	784	6481
108	792	6474
109	797	6455
110	804	6443
111	810	6424
112	816	6408
113	822	6395
114	828	6374
115	834	6358
116	842	6356
117	848	6342
118	854	6324
119	861	6319
120	869	6317
121	873	6287
122	878	6267
123	884	6250
124	890	6233
125	896	6215
126	902	6204
127	907	6183
128	913	6168
129	919	61541130	926	6144
131	934	6143
132	941	6134
133	947	6120
134	954	6116
135	959	6096
136	966	6091
137	971	6070
138	978	6059
139	983	6040
140	987	6018
141	993	6000
142	999	5988
143	1003	5965
144	1012	5969
145	1018	5958
146	1024	5942
147	1029	5926
148	1033	5904
149	1039	5890
150	1047	5888
151	1051	5865
15152	1072	59311153	1078	59215154	1085	59111155	1091	5901156	1099	590211157	1102	58711158	1109	58611159	1116	58611160	1123	58521161	1129	58401162	1134	58211163	1140	58111164	1146	58011165	1151	57811166	1157	57711167	1163	5761168	1173	57681169	1178	575511170	1182	57311171	1188	5721172	1197	5726
173	1202	57081174	1209	5704
175	1215	5691
176	1220	5675
177	1227	5666
178	1233	5656
179	1240	5649
180	1246	5640
181	1251	5625
182	1258	5616
183	1263	5601
184	1268	55861185	1275	55811186	1281	55701187	1288	5565
188	1294	5555
189	1300	5544
190	1306	5535
191	1312	5523
192	1317	5510
193	1324	5504
194	1329	5487
195	1335	5476
196	1343	5474
197	1349	5466
198	1354	5453
199	1360	5441
200	1366	5431
201	1371	5417
202	1378	5413
203	1383	5398
204	1388	5386
205	1395	5378
206	1400	5364
207	1407	5358
208	1415	5357
209	1422	5351
210	1428	5342
211	1434	5330
212	1439	5318
213	1445	5310
214	1451	5299
215	1456	5288
216	1462	5277
217	1469	5272
218	1476	5266
219	1484	5263
220	1490	5252
221	1496	5245
222	1503	5237
223	1509	5229
224	1515	5220
225	1523	5218
226	1528	5205
227	1535	5199
228	1541	5188
229	1546	5178
230	1553	5173
231	1560	5165
232	1565	5152
233	1572	5146
234	1578	5139
235	1584	5129
236	1589	5116
237	1596	5110
238	1602	5101
239	1609	5097
240	1616	5091
241	1623	5084
242	1628	5073
243	1634	5063
244	1639	5053
245	1646	5046
246	1651	5034
247	1658	5029
248	1666	5026
249	1671	5014
250	1677	5007
251	1683	4997
252	1689	4989
253	1694	4976
254	1700	4968
255	1706	4959
256	1711	4949
257	1717	4938
258	1723	4929
259	1729	4923
260	1736	4917
261	1741	4905
262	1746	4895
263	1751	4882
264	1757	4874
265	1763	4864
266	1768	4854
267	1774	4846
268	1780	4838
269	1787	4831
270	1792	4820
271	1797	4812
272	1803	4803
273	1809	4795
274	1815	4785
275	1821	4778
276	1827	4769
277	1833	4761
278	1840	4755
279	1844	4744
2280	1846	47242281	1853	47192282	1860	47132283	1864	47012284	1870	46932285	1875	46822286	1881	46742287	1888	46692288	1896	46642289	1901	46562290	1909	4652
291	1914	4641
292	1920	4633
293	1925	4624
294	1931	46152295	1936	46052296	1943	45992297	1949	45922298	1956	4587
299	1962	4579
300	1968	4571
301	1973	4561
302	1979	4554
303	1985	4545
304	1991	4538
305	1997	4530
306	2003	4521
307	2008	4513
308	2014	4505
309	2021	4499
310	2027	4491
311	2033	4483
312	2038	4475
313	2045	4468
314	2052	4462
315	2057	4453
316	2063	4445
317	2068	4436
318	2074	4428
319	2080	4420
320	2085	4411
321	2093	4408
322	2099	4399
323	2104	4391
324	2109	4381
325	2116	4375
326	2121	43663327	2126	43563328	2131	43473329	2136	43383330	2142	43303331	2148	43223332	2154	43153333	2159	43073334	2166	43013335	2172	42923336	2178	42863337	2183	42773338	2190	42703339	2197	42663340	2203	42583341	2210	42533342	2216	42453343	2221	42353344	2228	42303345	2232	42203346	2239	42133347	2245	42063348	2249	41953349	2257	41913350	2264	41863351	2271	41813352	2277	4175
353	2282	4165
354	2288	4158
355	2294	41513356	2300	41433357	2305	41343358	2311	41283359	2316	41183360	2322	41103361	2329	41063362	2334	40973363	2340	40893364	2346	40823365	2354	40783366	2359	40693367	2365	40623368	2372	4056
369	2379	4051
370	2386	4046
371	2392	4038
372	2396	4029
373	2402	4020
374	2406	40113375	2412	40043376	2418	39963377	2423	39883378	2428	39793379	2433	39703380	2439	39623381	2445	39563382	2452	3951
383	2457	39423384	2462	39333385	2469	39273386	2475	39213387	2482	39153388	2488	3908
389	2496	3905
390	2502	3897
391	2506	38883392	2512	38803393	2518	38733394	2522	38643395	2528	38563396	2535	38503397	2540	38423398	2546	38353399	2555	38334400	2560	38244401	2566	38174402	2573	38114403	2577	38024404	2583	37954405	2590	37904406	2597	3784
407	2603	3776
408	2608	3768
