Year,Country Name,Population,GDP PPP 2017,GDP PPP/capita 2017,Region,Income Group,gdp_per_capita_growth,region_economic_weight,gdp_ppp_2017_log,gdp_ppp_2017_squared,gdp_ppp_2017_growth,gdp_ppp_2017_rolling_mean_3y,gdp_ppp_2017_rolling_std_3y,gdp_ppp_2017_deviation,gdp_ppp/capita_2017_log,gdp_ppp/capita_2017_squared,gdp_ppp/capita_2017_growth,gdp_ppp/capita_2017_rolling_mean_3y,gdp_ppp/capita_2017_rolling_std_3y,gdp_ppp/capita_2017_deviation,population_log,population_squared,population_growth,population_rolling_mean_3y,population_rolling_std_3y,population_deviation,gdp_per_capita_acceleration,MSW,MSW_log
2013,Albania,2895092,32892031585.42,11361.31,Europe & Central Asia,Upper middle income,0.0118720948770083,0.7976890074893578,24.216496264361663,1.0818857418162668e+21,0.0141724279990735,32522793579.54,392464340.2659653,1.5667229044017428,9.338057016673758,129079364.9161,0.015849334514328,11214.05,154.7130854194578,1.5970581777528496,14.878527792825588,8381557688464,-0.0016501474083495,2900229.333333333,5053.687201771319,-1.3976843157294156,-0.4382884232354371,940000.0,13.753636218075409
2014,Albania,2889104,33475683862.49,11586.87,Europe & Central Asia,Upper middle income,0.0198533443766608,0.7996616967430488,24.23408515739608,1.1206214100613735e+21,0.0100201754069326,32977810944.29333,461007940.6679248,1.5285021087446071,9.357714140324417,134255556.39690003,0.0118720948770083,11392.063333333334,181.3958393495872,1.557569826759134,14.876457323543889,8346921922816,-0.0018304365499804,2894865.6666666665,5651.899887059848,-1.359258216538391,-0.2509404816791635,1229000.0,14.021712202217492
2015,Albania,2880703,34218417689.62,11878.5,Europe & Central Asia,Upper middle income,0.0251690059524272,0.8013741405637534,24.256029865025784,1.1709001091812988e+21,0.017744488526173,33528711045.84333,664781118.8536352,1.515713744203216,9.382569504488844,141098762.25,0.0198533443766608,11608.893333333332,259.2974053733277,1.5460893326164442,14.873545266684898,8298449774209,-0.0020683280531327,2888299.6666666665,7228.142523037685,-1.3444834445381195,0.6722696863810527,1413000.0,14.161226369380495
2016,Albania,2876101,35352751626.34,12291.9,Europe & Central Asia,Upper middle income,0.0348023740371259,0.8032150339386966,24.28864206578837,1.2498170475536853e+21,0.0221872637518316,34348951059.483334,945317442.9824492,1.5477525361227904,9.416777138923443,151090805.60999998,0.0251690059524272,11919.090000000002,354.2633008088818,1.5726677658699717,14.87194646311907,8271956962201,-0.0029078219406432,2881969.333333333,6593.3453066971615,-1.307749002284134,0.267746404581352,1300000.0,14.077875591662238
2017,Albania,2873457,36697074907.24,12771.05,Europe & Central Asia,Upper middle income,0.0389809549378046,0.8054536401500424,24.32596288605775,1.3466753067475835e+21,0.0331498068382072,35422748074.399994,1240810230.3214717,1.5964758337485323,9.455014468640664,163099718.1025,0.0348023740371259,12313.816666666666,446.6784423199039,1.613424746457495,14.871026740501554,8256755130849,-0.0015975267148331,2876753.6666666665,3666.825511712541,-1.2639381036442157,0.3827472607741076,1254000.0,14.04184979762285
2018,Albania,2866376,38172057179.07,13317.18,Europe & Central Asia,Upper middle income,0.0427631244102875,0.8082097015450121,24.36536959745875,1.4571059492821894e+21,0.0380259872020372,36740627904.21667,1410157295.330021,1.6497856358303604,9.496885298122107,177347283.15240002,0.0389809549378046,12793.376666666663,513.004512293346,1.6650388396529348,14.868559420938457,8216111373376,-0.0009193001219358,2871978.0,5028.368224385734,-1.256080198268455,0.1200659729770481,1325000.0,14.096923772119156
2019,Albania,2854191,38968979796.11,13653.25,Europe & Central Asia,Upper middle income,0.0252358231998064,0.8110283725835165,24.38603177676805,1.5185813863496294e+21,0.0401934561694179,37946037294.14,1152693236.427339,1.628752244169017,9.521806107463457,186411235.5625,0.0427631244102875,13247.159999999998,445.2485938214711,1.6527929745069816,14.864299348757529,8146406264481,-0.0024642790896122,2864674.6666666665,9745.029006285422,-1.2841003271565004,0.0970260856491962,1087000.0,13.898933086066124
2020,Albania,2837849,37682192113.63,13278.43,Europe & Central Asia,Upper middle income,-0.0274528042773698,0.812886650633071,24.35245346210221,1.4199476024885188e+21,0.020877119965045,38274409696.27,649471064.2346495,1.4130835707360312,9.493971500422516,176316703.2649,0.0252358231998064,13416.286666666669,206.1288592927472,1.4603149827815416,14.858557281182676,8053386946801,-0.0042510124282368,2852805.333333333,14313.891376328977,-1.3372082858566892,-0.409869518473831,1048000.0,13.862395098061144
2021,Albania,2811666,41039120680.62,14596.02,Europe & Central Asia,Upper middle income,0.0992278454606456,0.815860119734967,24.437791611692937,1.6842094262384924e+21,-0.0330208203861793,39230097530.12,1693629004.306698,1.6646160371414669,9.58857267727419,213043799.8404,-0.0274528042773698,13842.566666666668,678.8898675288403,1.7237050908722822,14.849288103847735,7905465695556,-0.0057256154195707,2834568.6666666665,21451.44159102935,-1.4474861380066633,-2.087850555141804,875000.0,13.68198030819624
1990,Argentina,32637657,461383067195.93,14136.53,Latin America & Caribbean,Upper middle income,0.0,0.8196642845467679,26.85749448326304,2.1287433469512407e+23,0.0,461383067195.93,4451501711.902665,0.0,9.55658824243804,199841480.44090003,0.0,14136.53,69.75061027206758,0.0,17.30097733303487,1065216654449649,0.0,32637657.0,1080254.2994833812,0.0,0.0,11227978.6,16.233919399575903
1991,Argentina,33105763,503521692862.15,15209.49,Latin America & Caribbean,Upper middle income,0.0758998141693894,0.8228587661903148,26.94489263231427,2.535340951827653e+23,0.0,482452380029.04,29796507958.465664,0.707106781186547,9.629740600382029,231328586.0601,0.0,14673.01,758.6972919419175,0.7071067811865475,17.31521796415967,1095991543812169,0.0,32871710.0,331000.92691411,0.7071067811865475,0.0,13943186.47,16.45050159354327
1992,Argentina,33568285,543487677674.49,16190.51,Latin America & Caribbean,Upper middle income,0.0645005190838088,0.8257655434149259,27.021272871080445,2.953788557840104e+23,0.091331105673901,502797479244.19,41057095969.90932,0.9910637240422892,9.692242309771585,262132614.0601,0.0758998141693894,15178.843333333332,1027.3328933375649,0.9847505839903548,17.32909231016093,1126829757841225,0.0143425123929699,33103901.666666668,465316.7921076273,0.997993928458788,0.0,13109047.48,16.3888132733957
1993,Argentina,34027240,588091597641.29,17282.96,Latin America & Caribbean,Upper middle income,0.0674747120381011,0.8286873891607562,27.10014855101608,3.45851727216285e+23,0.0793729155642983,545033656059.31006,42306142999.13134,1.1792816906458776,9.757534182770044,298700706.3616,0.0645005190838088,16227.653333333334,1037.233908351116,1.1728421706152778,17.342671967668693,1157853062017600,0.0139710418394525,33567096.0,460739.65064122615,1.158225920479693,-0.1501887087646908,14392714.92,16.48223279767769
1994,Argentina,34488696,622413803601.14,18046.89,Latin America & Caribbean,Upper middle income,0.0442013405111161,0.8312079325791635,27.15687098758867,3.873989429132385e+23,0.0820697907221266,584664359638.9733,39574522216.83473,1.2222291151933355,9.800784059421057,325690238.6721,0.0674747120381011,17173.453333333335,933.0222176525748,1.1958285259074355,17.35614220513298,1189470151780416,0.0136722802490505,34028073.666666664,460206.06632283033,1.2627921207283563,0.0461111475773989,14732580.77,16.505572045992736
1995,Argentina,34946110,604704826243.56,17303.92,Latin America & Caribbean,Upper middle income,-0.0411688662146221,0.8345030485190481,27.128006285415093,3.656679268822542e+23,0.0583620070368442,605070075828.6635,17164017913.418476,0.8098763509527956,9.758746133117413,299425647.36639994,0.0442013405111161,17544.59,435.1307825240521,0.6385907420014519,17.36931774720527,1221230604132100,0.0135613702433696,34487348.666666664,459436.48168744176,1.332720679202571,-0.3449199088666461,13856896.59,16.44429368756498
1996,Argentina,35389362,638124986359.87,18031.55,Latin America & Caribbean,Upper middle income,0.0420500094776212,0.8373359261097774,27.18180000449158,4.0720349821678427e+23,-0.0284520961057096,621747872068.1901,16720029131.400312,1.1020777754790951,9.799933737145368,325136795.4025,-0.0411688662146221,17794.12,424.59493508518665,0.9622556214679272,17.381921852724787,1252406942767044,0.0132627223714112,34941389.333333336,450351.5564637642,1.3772111209433922,-1.931394064943995,14448465.31,16.486098829173446
1997,Argentina,35815971,689883602459.33,19261.9,Latin America & Caribbean,Upper middle income,0.0682331801758584,0.8403163402055848,27.259788728221128,4.759393849422628e+23,0.0552668982715365,644237805020.92,42917139855.67076,1.4496731005725954,9.8659362451493,371020791.6100001,0.0420500094776212,18199.123333333333,989.6878480780338,1.3963189585443676,17.393904497129125,1282783778672841,0.0126838723966702,35383814.333333336,434957.0349865988,1.4057848747468609,-2.021403146212615,14769744.82,16.508091445151628
1998,Argentina,36233195,716445355021.62,19773.18,Latin America & Caribbean,Upper middle income,0.0265435912345095,0.8426590094854127,27.297567814764147,5.132939467320552e+23,0.0811104677074512,681484647946.9401,39829974447.69439,1.4424581260733758,9.892132325277991,390978647.3124,0.0682331801758584,19022.210000000003,895.2135143640293,1.383388591838689,17.405486273167757,1312844419908025,0.0120547242417086,35812842.666666664,421925.1981386433,1.4281905905718772,0.6226674149068068,15554218.27,16.559842495475966
1999,Argentina,36653031,692190405307.75,18884.94,Latin America & Caribbean,Upper middle income,-0.0449214542122208,0.8434332288544552,27.263126906896936,4.791275572001072e+23,0.03850178851563,699506454262.9,14714792014.523075,1.0249200408434371,9.846173008861491,356640958.80359995,0.0265435912345095,19306.67333333333,445.8094468865922,0.8196886390266342,17.41700671138808,1343444681486961,0.0116491048085782,36234065.66666666,418530.67921639263,1.4515970875035664,-0.6109870422850241,15455033.09,16.553445339304574
