Year,Country Name,Population,GDP PPP 2017,GDP PPP/capita 2017,Region,Income Group,gdp_per_capita_growth,region_economic_weight,gdp_ppp_2017_log,gdp_ppp_2017_squared,gdp_ppp_2017_growth,gdp_ppp_2017_rolling_mean_3y,gdp_ppp_2017_rolling_std_3y,gdp_ppp_2017_deviation,gdp_ppp/capita_2017_log,gdp_ppp/capita_2017_squared,gdp_ppp/capita_2017_growth,gdp_ppp/capita_2017_rolling_mean_3y,gdp_ppp/capita_2017_rolling_std_3y,gdp_ppp/capita_2017_deviation,population_log,population_squared,population_growth,population_rolling_mean_3y,population_rolling_std_3y,population_deviation,gdp_per_capita_acceleration
2002,Afghanistan,21000256,26890054382.39,1280.46,South Asia,Low income,0.0,0.6137459233059168,24.015022329664337,7.230750246878916e+20,0.0,26890054382.39,1679381650.841098,0.0,7.155755331895206,1639577.8116000001,0.0,1280.46,8.393357492684242,0.0,16.86004523370805,441010752065536,0.0,21000256.0,1163101.5595974412,0.0,0.0
2003,Afghanistan,22645130,29265058689.41,1292.33,South Asia,Low income,0.009270106055636163,0.6141422424380518,24.099660105168876,8.564436600946118e+20,0.0,28077556535.9,1679381650.841098,0.7071067811865469,7.164975566626301,1670116.8288999998,0.0,1286.395,8.393357492684242,0.7071067811865476,16.935455419897206,512801912716900,0.0,21822693.0,1163101.5595974412,0.7071067811865475,0.0
2004,Afghanistan,23553551,29678901146.36,1260.06,South Asia,Low income,-0.02497040229662706,0.6135554043832935,24.113702231223282,8.80837173255409e+20,0.08832277812630096,28611338072.72,1504968289.280757,0.709359181348732,7.13970791611766,1587751.2036,0.009270106055636163,1277.6166666666666,16.321814645845368,-1.0756565398894278,16.974787195078775,554769764709601,0.07832637849748125,22399645.666666668,1294227.8615801516,0.8915781892722533,0.0
2005,Afghanistan,24411191,33011757107.89,1352.32,South Asia,Low income,0.07321873561576431,0.6147991174237543,24.22012961098863,1.0897761073503259e+21,0.014141179805655213,30651905647.88667,2054139863.7272694,1.309599549848492,7.210316111662387,1828769.3823999998,-0.02497040229662706,1301.57,46.818907505408674,1.4127706398093283,17.010552273622597,595906246038481,0.040115512695224176,23536624.0,883152.1705951911,1.0341379884310413,-3.6936479633310366
2006,Afghanistan,25442944,34780330056.49,1366.99,South Asia,Low income,0.01084802413629915,0.6157288824833014,24.272317835692096,1.2096713588383815e+21,0.11229714823652626,32490329436.91333,2590378223.9901996,1.2886761526556656,7.221097788214258,1868661.6601,0.07321873561576431,1326.4566666666667,57.967147879927325,1.2115648284327571,17.051949052314843,647343399387136,0.03641234393913684,24469228.666666668,946032.6395935449,1.1961223411882,-3.932220904813156
2007,Afghanistan,25903301,39589169629.94,1528.34,South Asia,Low income,0.11803305071726933,0.618911441594615,24.401821423632313,1.567302351988164e+21,0.05357403251271653,35793752264.77333,3403800420.1901135,1.6112631564515107,7.332591548769558,2335823.1555999997,0.01084802413629915,1415.8833333333332,97.66615909993281,1.8478355381017866,17.069881008891052,670981002696601,0.04226557401480324,25252478.666666668,764071.8849861762,1.1357427331153598,-0.851840870440222
2008,Afghanistan,26427199,41143038133.03,1556.84,South Asia,Low income,0.018647683107162027,0.6221821188687557,24.440320567108376,1.6927495868159605e+21,0.13826319547972998,38504179273.15333,3317215183.336283,1.4246915282159383,7.351055525393323,2423750.7855999996,0.11803305071726933,1484.0566666666666,102.37927443254024,1.5030884602117391,17.089904340748962,698396846985601,0.018093700162999937,25924481.333333332,492469.2184759653,1.1506934014392511,9.88060362276598
2009,Afghanistan,27385307,49943751386.66,1823.74,South Asia,Low income,0.17143701343747608,0.6287618661783073,24.634163236871505,2.494378302572503e+21,0.03924983821622918,43558653049.87667,5583971472.797699,1.8805712220386035,7.509192790113958,3326027.5876,0.018647683107162027,1636.3066666666666,162.9463204044001,2.025708704603517,17.12551722316976,749955039484249,0.02022514427794353,26571935.666666668,751529.7552441471,1.3165968475483658,-0.842013037925879
2010,Afghanistan,28189672,57116893447.12,2026.16,South Asia,Low income,0.11099169837805833,0.6360176163903548,24.76836576708628,3.2623395170496597e+21,0.2139052839310065,49401227655.60333,8000735116.096498,1.8892082012882303,7.614391077722638,4105324.3456,0.17143701343747608,1802.2466666666667,235.39708607655584,1.9694777458602006,17.15446626316491,794657607467584,0.03625461782764039,27334059.333333332,882353.3937353716,1.3794791777335456,8.193475267264283
2011,Afghanistan,29249157,57360414055.11,1961.1,South Asia,Low income,-0.03211000118450669,0.6419423104814246,24.77262025176315,3.290217100573661e+21,0.14362441469256448,54807019629.630005,4213473516.463425,1.5370688353334605,7.581770607226056,3845913.2099999995,0.11099169837805833,1937.0,103.3395935738092,1.4262943975979026,17.19136134490302,855513185210649,0.02937213740200173,28274712.0,934830.496306681,1.4929661841091841,-0.35258030834433807
