Year,Country Name,Population,GDP PPP 2017,GDP PPP/capita 2017,Region,Income Group,gdp_per_capita_growth,region_economic_weight,gdp_ppp_2017_log,gdp_ppp_2017_squared,gdp_ppp_2017_growth,gdp_ppp_2017_rolling_mean_3y,gdp_ppp_2017_rolling_std_3y,gdp_ppp_2017_deviation,gdp_ppp/capita_2017_log,gdp_ppp/capita_2017_squared,gdp_ppp/capita_2017_growth,gdp_ppp/capita_2017_rolling_mean_3y,gdp_ppp/capita_2017_rolling_std_3y,gdp_ppp/capita_2017_deviation,population_log,population_squared,population_growth,population_rolling_mean_3y,population_rolling_std_3y,population_deviation,gdp_per_capita_acceleration,MSW,MSW_log
2013,Albania,2895092,32892031585.42,11361.31,Europe & Central Asia,Upper middle income,0.0118720948770083,0.7976890074893578,24.216496264361663,1.0818857418162668e+21,0.0141724279990735,32522793579.54,392464340.2659653,1.5667229044017428,9.338057016673758,129079364.9161,0.015849334514328,11214.05,154.7130854194578,1.5970581777528496,14.878527792825588,8381557688464,-0.0016501474083495,2900229.333333333,5053.687201771319,-1.3976843157294156,-0.4382884232354371,940000.0,13.753636218075409
2014,Albania,2889104,33475683862.49,11586.87,Europe & Central Asia,Upper middle income,0.0198533443766608,0.7996616967430488,24.23408515739608,1.1206214100613735e+21,0.0100201754069326,32977810944.29333,461007940.6679248,1.5285021087446071,9.357714140324417,134255556.39690003,0.0118720948770083,11392.063333333334,181.3958393495872,1.557569826759134,14.876457323543889,8346921922816,-0.0018304365499804,2894865.6666666665,5651.899887059848,-1.359258216538391,-0.2509404816791635,1229000.0,14.021712202217492
2015,Albania,2880703,34218417689.62,11878.5,Europe & Central Asia,Upper middle income,0.0251690059524272,0.8013741405637534,24.256029865025784,1.1709001091812988e+21,0.017744488526173,33528711045.84333,664781118.8536352,1.515713744203216,9.382569504488844,141098762.25,0.0198533443766608,11608.893333333332,259.2974053733277,1.5460893326164442,14.873545266684898,8298449774209,-0.0020683280531327,2888299.6666666665,7228.142523037685,-1.3444834445381195,0.6722696863810527,1413000.0,14.161226369380497
2016,Albania,2876101,35352751626.34,12291.9,Europe & Central Asia,Upper middle income,0.0348023740371259,0.8032150339386966,24.28864206578837,1.2498170475536853e+21,0.0221872637518316,34348951059.483334,945317442.9824492,1.5477525361227904,9.416777138923443,151090805.60999998,0.0251690059524272,11919.090000000002,354.2633008088818,1.5726677658699717,14.87194646311907,8271956962201,-0.0029078219406432,2881969.333333333,6593.3453066971615,-1.307749002284134,0.267746404581352,1300000.0,14.077875591662238
2017,Albania,2873457,36697074907.24,12771.05,Europe & Central Asia,Upper middle income,0.0389809549378046,0.8054536401500424,24.32596288605775,1.3466753067475835e+21,0.0331498068382072,35422748074.399994,1240810230.3214717,1.5964758337485323,9.455014468640664,163099718.1025,0.0348023740371259,12313.816666666666,446.6784423199039,1.613424746457495,14.871026740501554,8256755130849,-0.0015975267148331,2876753.6666666665,3666.825511712541,-1.2639381036442157,0.3827472607741076,1254000.0,14.04184979762285
2018,Albania,2866376,38172057179.07,13317.18,Europe & Central Asia,Upper middle income,0.0427631244102875,0.8082097015450121,24.36536959745875,1.4571059492821894e+21,0.0380259872020372,36740627904.21667,1410157295.330021,1.6497856358303604,9.496885298122107,177347283.15240002,0.0389809549378046,12793.376666666663,513.004512293346,1.6650388396529348,14.868559420938457,8216111373376,-0.0009193001219358,2871978.0,5028.368224385734,-1.256080198268455,0.1200659729770481,1325000.0,14.096923772119156
2019,Albania,2854191,38968979796.11,13653.25,Europe & Central Asia,Upper middle income,0.0252358231998064,0.8110283725835165,24.38603177676805,1.5185813863496294e+21,0.0401934561694179,37946037294.14,1152693236.427339,1.628752244169017,9.521806107463457,186411235.5625,0.0427631244102875,13247.159999999998,445.2485938214711,1.6527929745069816,14.864299348757529,8146406264481,-0.0024642790896122,2864674.6666666665,9745.029006285422,-1.2841003271565004,0.0970260856491962,1087000.0,13.898933086066124
2020,Albania,2837849,37682192113.63,13278.43,Europe & Central Asia,Upper middle income,-0.0274528042773698,0.812886650633071,24.35245346210221,1.4199476024885188e+21,0.020877119965045,38274409696.27,649471064.2346495,1.4130835707360312,9.493971500422516,176316703.2649,0.0252358231998064,13416.286666666669,206.12885929274717,1.4603149827815416,14.858557281182676,8053386946801,-0.0042510124282368,2852805.333333333,14313.891376328977,-1.3372082858566892,-0.409869518473831,1048000.0,13.862395098061143
2021,Albania,2811666,41039120680.62,14596.02,Europe & Central Asia,Upper middle income,0.0992278454606456,0.815860119734967,24.437791611692937,1.6842094262384924e+21,-0.0330208203861793,39230097530.12,1693629004.306698,1.6646160371414669,9.58857267727419,213043799.8404,-0.0274528042773698,13842.566666666668,678.8898675288403,1.7237050908722822,14.849288103847735,7905465695556,-0.0057256154195707,2834568.6666666665,21451.44159102935,-1.4474861380066633,-2.087850555141804,875000.0,13.681980308196241
2022,Albania,2777689,43032145215.43,15492.07,Europe & Central Asia,Upper middle income,0.0613900227596289,0.8192437970287374,24.4852132365266,1.8517655218418551e+21,0.0890852781830537,40584486003.22666,2703797156.829789,1.7510704428144654,9.64814810615558,240004232.8849,0.0992278454606456,14455.506666666668,1113.4893398831084,1.8373395258730023,14.837130204996964,7715556180721,-0.009226354185864,2809068.0,30164.028295305787,-1.591064823143289,-4.61448850391004,820000.0,13.617060838751888
1990,Algeria,25518074,225295872151.35,8828.87,Middle East & North Africa,Upper middle income,0.0,0.779293185360861,26.14068036265596,5.075823000843744e+22,0.0,225295872151.35,2703797156.829789,0.0,9.085895570952822,77948945.47690001,0.0,8828.87,1113.4893398831084,0.0,17.054897582561317,651172100669476,0.0,25518074.0,30164.028295305787,0.0,0.0,6293602.897,15.655044421197436
1991,Algeria,26133905,222592320366.39,8517.38,Middle East & North Africa,Upper middle income,-0.0352808456801382,0.7777668445129512,26.128607775495468,4.954734108609361e+22,0.0,223944096258.87,1911699800.4341936,-0.7071067811865436,9.049981460899229,72545762.06439999,0.0,8673.125,220.2566912717988,-0.7071067811865476,17.07874410967774,682980990549025,0.0,25825989.5,435458.2761648928,0.7071067811865475,0.0,7562686.98,15.838737237871811
1992,Algeria,26748303,226598987259.71,8471.53,Middle East & North Africa,Upper middle income,-0.0053831107688042,0.7770998017828193,26.146447716248375,5.134710102712621e+22,-0.0120000058551618,224829059925.81665,2043717235.5629697,0.8660333744290171,9.04458444434245,71766820.5409,-0.0352808456801382,8605.926666666666,194.43084383228253,-0.6912312060045225,17.101981627427147,715471713379809,0.0241331301100544,26133427.33333333,615114.6390993583,0.9996114993571924,0.0,6989796.547,15.75996215055736
1993,Algeria,27354327,221840406809.92,8109.88,Middle East & North Africa,Upper middle income,-0.0426900453637064,0.7758550141601115,26.12522407205553,4.921316609359081e+22,0.0180000230319039,223677238145.34,2558086572.92754,-1.0006718910383816,9.000961649237686,65770153.6144,-0.0053831107688042,8366.263333333332,223.21484232311363,-1.263367353501975,17.124385319285427,748259205622929,0.0235096132782299,26745511.666666668,610215.7882071997,1.1583462700745883,-0.8474211526104446,7417683.078,15.819377447556407
1994,Algeria,27937006,219843850796.64,7869.27,Middle East & North Africa,Upper middle income,-0.0296687497225606,0.7746071064335271,26.1161833621918,4.833131873309532e+22,-0.0210000075787455,222761081622.09,3470403253.3694906,-1.250126047469422,8.970847648319783,61925410.33290001,-0.0426900453637064,8150.226666666666,303.1504033204174,-1.30939853962895,17.145462783649922,780476304244036,0.0226565401177039,27346545.33333333,594389.7049111247,1.2512903898649386,6.930367253651938,7434268.428,15.821610871851403
1995,Algeria,28478022,228197905672.69,8013.12,Middle East & North Africa,Upper middle income,0.0182799675192233,0.7729167966561594,26.15347909674108,5.207428415340193e+22,-0.0089999655247238,223294054426.41663,4362611232.131908,1.3086476873557056,8.988960264879841,64210092.1344,-0.0296687497225606,7997.423333333333,121.0705663376979,-0.7940186100839697,17.164643224963736,810997737032484,0.0213011637975959,27923118.33333333,561976.2127709099,1.3026637584733498,-0.3050194847582917,7207160.288,15.79058571300957
1996,Algeria,28984634,237554016313.73,8195.86,Middle East & North Africa,Upper middle income,0.022805099636596,0.7722413163148546,26.19366087167586,5.64319106667839e+22,0.0379999478983728,228531924261.02,8859806260.505571,1.9737595719316523,9.011506433087876,67172121.13960001,0.0182799675192233,8026.083333333333,163.68046014515946,-0.271431263208477,17.18227641995631,840109008113956,0.0193655683790883,28466554.0,523908.1435366338,1.3345165472865828,-1.616135418248614,7499888.437,15.830398836664545
1997,Algeria,29476031,240167110349.0,8147.88,Middle East & North Africa,Upper middle income,-0.0058541751567254,0.7715559454523888,26.204600811113814,5.768024089338874e+22,0.0409999846995077,235306344111.80664,6293209665.292056,1.6796116211528274,9.005635773478577,66387948.4944,0.022805099636596,8118.953333333334,94.74197028419658,-0.3874031828930759,17.199088016497424,868836403512961,0.0177895782228134,28979562.33333333,499023.8294634195,1.3617806642809582,0.2475459604955014,7486871.542,15.828661717159807
1998,Algeria,29924668,252415641644.53,8435.04,Middle East & North Africa,Upper middle income,0.0352435234686814,0.7722445011347396,26.254342937347545,6.371365614681979e+22,0.01099999939306,243378922769.08667,7934341884.153835,2.041162273283324,9.040268283171113,71149899.80160001,-0.0058541751567254,8259.593333333334,153.8235018887955,0.4943368121123905,17.21419374836134,895485754910224,0.0169537072643386,29461777.666666668,470179.0599573061,1.3720199341442425,-1.2567046515916602,7939562.349,15.887368837882388
